"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"19","query_1",FALSE,1,712,8,1,0.125,0.00140449438202247,"GO:0031326","GO:BP","regulation of cellular biosynthetic process",9567,7375,"GO:0009889,GO:0031323,GO:0044249"
"20","query_1",FALSE,1,754,8,1,0.125,0.0013262599469496,"GO:0031323","GO:BP","regulation of cellular metabolic process",9567,7372,"GO:0019222,GO:0044237,GO:0050794"
"21","query_1",FALSE,1,1200,8,1,0.125,0.000833333333333333,"GO:0016070","GO:BP","RNA metabolic process",9567,5158,"GO:0090304"
"22","query_1",FALSE,1,203,2,1,0.5,0.00492610837438424,"GO:0016192","GO:BP","vesicle-mediated transport",9567,5229,"GO:0006810,GO:0009987"
"23","query_1",FALSE,1,1010,8,1,0.125,0.00099009900990099,"GO:0018130","GO:BP","heterocycle biosynthetic process",9567,5424,"GO:0044249,GO:0046483"
"24","query_1",FALSE,1,712,8,1,0.125,0.00140449438202247,"GO:0010468","GO:BP","regulation of gene expression",9567,4208,"GO:0010467,GO:0010556"
"25","query_1",FALSE,1,998,8,1,0.125,0.00100200400801603,"GO:0019438","GO:BP","aromatic compound biosynthetic process",9567,5983,"GO:0006725,GO:0044249"
"26","query_1",FALSE,1,3998,8,2,0.25,0.000500250125062531,"GO:0044237","GO:BP","cellular metabolic process",9567,11299,"GO:0008152,GO:0009987"
"27","query_1",FALSE,1,323,5,1,0.2,0.00309597523219814,"GO:1901575","GO:BP","organic substance catabolic process",9567,22105,"GO:0009056,GO:0071704"
"28","query_1",FALSE,1,213,5,1,0.2,0.00469483568075117,"GO:1901565","GO:BP","organonitrogen compound catabolic process",9567,22099,"GO:1901564,GO:1901575"
"29","query_1",FALSE,1,2625,5,1,0.2,0.000380952380952381,"GO:1901564","GO:BP","organonitrogen compound metabolic process",9567,22098,"GO:0006807,GO:0071704"
"30","query_1",FALSE,1,1020,8,1,0.125,0.000980392156862745,"GO:1901362","GO:BP","organic cyclic compound biosynthetic process",9567,21928,"GO:1901360,GO:1901576"
"31","query_1",FALSE,1,2251,8,1,0.125,0.000444247001332741,"GO:1901360","GO:BP","organic cyclic compound metabolic process",9567,21926,"GO:0071704"
"32","query_1",FALSE,1,1852,8,1,0.125,0.000539956803455724,"GO:0090304","GO:BP","nucleic acid metabolic process",9567,18717,"GO:0006139,GO:0043170"
"33","query_1",FALSE,1,707,8,1,0.125,0.00141442715700141,"GO:0080090","GO:BP","regulation of primary metabolic process",9567,18320,"GO:0019222,GO:0044238"
"34","query_1",FALSE,1,5161,8,2,0.25,0.000387521798101143,"GO:0071704","GO:BP","organic substance metabolic process",9567,17374,"GO:0008152"
"35","query_1",FALSE,1,2639,8,1,0.125,0.000378931413414172,"GO:0065007","GO:BP","biological regulation",9567,16384,"GO:0008150"
"36","query_1",FALSE,1,765,8,1,0.125,0.00130718954248366,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",9567,14938,"GO:0019222,GO:0043170"
"37","query_1",FALSE,1,317,5,1,0.2,0.00315457413249211,"GO:0043603","GO:BP","amide metabolic process",9567,11152,"GO:0006807"
"38","query_1",FALSE,1,640,8,1,0.125,0.0015625,"GO:0051252","GO:BP","regulation of RNA metabolic process",9567,14047,"GO:0016070,GO:0019219,GO:0060255"
"39","query_1",FALSE,1,1693,2,1,0.5,0.000590667454223272,"GO:0051179","GO:BP","localization",9567,14002,"GO:0008150"
"40","query_1",FALSE,1,707,8,1,0.125,0.00141442715700141,"GO:0051171","GO:BP","regulation of nitrogen compound metabolic process",9567,13995,"GO:0006807,GO:0019222"
"41","query_1",FALSE,1,2549,8,1,0.125,0.000392310710082385,"GO:0050794","GO:BP","regulation of cellular process",9567,13691,"GO:0009987,GO:0050789"
"42","query_1",FALSE,1,2599,8,1,0.125,0.000384763370527126,"GO:0050789","GO:BP","regulation of biological process",9567,13687,"GO:0008150,GO:0065007"
"43","query_1",FALSE,1,2220,8,1,0.125,0.00045045045045045,"GO:0046483","GO:BP","heterocycle metabolic process",9567,12593,"GO:0044237"
"44","query_1",FALSE,1,1270,8,1,0.125,0.00078740157480315,"GO:0044271","GO:BP","cellular nitrogen compound biosynthetic process",9567,11312,"GO:0034641,GO:0044249"
"45","query_1",FALSE,1,2076,8,1,0.125,0.000481695568400771,"GO:0044249","GO:BP","cellular biosynthetic process",9567,11305,"GO:0009058,GO:0044237"
"46","query_1",FALSE,1,1700,8,1,0.125,0.000588235294117647,"GO:0009059","GO:BP","macromolecule biosynthetic process",9567,3272,"GO:0043170,GO:0044249,GO:1901576"
"47","query_1",FALSE,1,219,5,1,0.2,0.0045662100456621,"GO:0044248","GO:BP","cellular catabolic process",9567,11304,"GO:0009056,GO:0044237"
"48","query_1",FALSE,1,4975,8,1,0.125,0.000201005025125628,"GO:0044238","GO:BP","primary metabolic process",9567,11300,"GO:0008152"
"49","query_1",FALSE,1,1678,2,1,0.5,0.000595947556615018,"GO:0051234","GO:BP","establishment of localization",9567,14032,"GO:0051179"
"50","query_1",FALSE,1,2164,8,1,0.125,0.000462107208872458,"GO:0009058","GO:BP","biosynthetic process",9567,3271,"GO:0008152"
"51","query_1",FALSE,1,4518,8,2,0.25,0.000442673749446658,"GO:0006807","GO:BP","nitrogen compound metabolic process",9567,2516,"GO:0008152"
"52","query_1",FALSE,1,5338,5,1,0.2,0.000187336080929187,"GO:0008152","GO:BP","metabolic process",9567,3159,"GO:0008150"
"53","query_1",FALSE,1,9567,2,1,0.5,0.000104525974704714,"GO:0008150","GO:BP","biological_process",9567,3158,""
"54","query_1",FALSE,1,1661,2,1,0.5,0.000602046959662854,"GO:0006810","GO:BP","transport",9567,2519,"GO:0051234"
"55","query_1",FALSE,1,2130,8,1,0.125,0.000469483568075117,"GO:1901576","GO:BP","organic substance biosynthetic process",9567,22106,"GO:0009058,GO:0071704"
"56","query_1",FALSE,1,62,5,1,0.2,0.0161290322580645,"GO:0006790","GO:BP","sulfur compound metabolic process",9567,2504,"GO:0044237"
"57","query_1",FALSE,1,18,5,1,0.2,0.0555555555555556,"GO:0006749","GO:BP","glutathione metabolic process",9567,2475,"GO:0006518,GO:0006575,GO:0006790"
"58","query_1",FALSE,1,2222,8,1,0.125,0.00045004500450045,"GO:0006725","GO:BP","cellular aromatic compound metabolic process",9567,2457,"GO:0044237"
"59","query_1",FALSE,1,35,5,1,0.2,0.0285714285714286,"GO:0006575","GO:BP","cellular modified amino acid metabolic process",9567,2321,"GO:0044237,GO:1901564"
"60","query_1",FALSE,1,283,5,1,0.2,0.00353356890459364,"GO:0006518","GO:BP","peptide metabolic process",9567,2266,"GO:0043603,GO:1901564"
"61","query_1",FALSE,1,622,8,1,0.125,0.00160771704180064,"GO:0006355","GO:BP","regulation of DNA-templated transcription",9567,2155,"GO:0006351,GO:0010468,GO:2001141"
"62","query_1",FALSE,1,765,8,1,0.125,0.00130718954248366,"GO:0006351","GO:BP","DNA-templated transcription",9567,2151,"GO:0010467,GO:0032774"
"63","query_1",FALSE,1,364,5,1,0.2,0.00274725274725275,"GO:0009056","GO:BP","catabolic process",9567,3269,"GO:0008152"
"64","query_1",FALSE,1,2149,8,1,0.125,0.000465332712889716,"GO:0006139","GO:BP","nucleobase-containing compound metabolic process",9567,2004,"GO:0006725,GO:0034641,GO:0044238,GO:0046483,GO:1901360"
"65","query_1",FALSE,1,622,8,1,0.125,0.00160771704180064,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",9567,27046,"GO:0010556,GO:0032774,GO:0051252"
"66","query_1",FALSE,0.116383033969313,7,2,1,0.5,0.142857142857143,"GO:0000145","GO:CC","exocyst",5515,21,"GO:0005938,GO:0099023"
"67","query_1",FALSE,0.149608177269821,9,2,1,0.5,0.111111111111111,"GO:0005938","GO:CC","cell cortex",5515,460,"GO:0005737,GO:0071944"
"68","query_1",FALSE,0.398412097000445,24,2,1,0.5,0.0416666666666667,"GO:0099023","GO:CC","vesicle tethering complex",5515,3334,"GO:0032991"
"69","query_1",FALSE,1,5515,2,1,0.5,0.000181323662737987,"GO:0005575","GO:CC","cellular_component",5515,197,""
"70","query_1",FALSE,1,1819,2,1,0.5,0.000549752611324904,"GO:0005622","GO:CC","intracellular anatomical structure",5515,237,"GO:0110165"
"71","query_1",FALSE,1,592,8,1,0.125,0.00168918918918919,"GO:0005634","GO:CC","nucleus",5515,243,"GO:0043231"
"72","query_1",FALSE,1,287,2,1,0.5,0.00348432055749129,"GO:0071944","GO:CC","cell periphery",5515,2793,"GO:0110165"
"73","query_1",FALSE,1,652,12,1,0.0833333333333333,0.00153374233128834,"GO:0043232","GO:CC","intracellular non-membrane-bounded organelle",5515,1884,"GO:0043228,GO:0043229"
"74","query_1",FALSE,1,1026,8,1,0.125,0.000974658869395711,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",5515,1883,"GO:0043227,GO:0043229"
"75","query_1",FALSE,1,1544,12,2,0.166666666666667,0.00129533678756477,"GO:0043229","GO:CC","intracellular organelle",5515,1881,"GO:0005622,GO:0043226"
"76","query_1",FALSE,1,652,12,1,0.0833333333333333,0.00153374233128834,"GO:0043228","GO:CC","non-membrane-bounded organelle",5515,1880,"GO:0043226"
"77","query_1",FALSE,1,1064,8,1,0.125,0.00093984962406015,"GO:0043227","GO:CC","membrane-bounded organelle",5515,1879,"GO:0043226"
"78","query_1",FALSE,1,1564,12,2,0.166666666666667,0.00127877237851662,"GO:0043226","GO:CC","organelle",5515,1878,"GO:0110165"
"79","query_1",FALSE,1,1139,2,1,0.5,0.000877963125548727,"GO:0032991","GO:CC","protein-containing complex",5515,1340,"GO:0005575"
"80","query_1",FALSE,1,225,12,1,0.0833333333333333,0.00444444444444444,"GO:0005856","GO:CC","cytoskeleton",5515,399,"GO:0043232"
"81","query_1",FALSE,1,716,2,1,0.5,0.00139664804469274,"GO:0005737","GO:CC","cytoplasm",5515,309,"GO:0005622,GO:0110165"
"82","query_1",FALSE,1,5354,2,1,0.5,0.00018677624206201,"GO:0110165","GO:CC","cellular anatomical entity",5515,3439,"GO:0005575"
"83","query_1",TRUE,0.03994844643266,2,2,1,0.5,0.5,"GO:0005546","GO:MF","phosphatidylinositol-4,5-bisphosphate binding",17566,1513,"GO:0043168,GO:1902936"
"84","query_1",FALSE,0.0798923440940189,4,2,1,0.5,0.25,"GO:1902936","GO:MF","phosphatidylinositol bisphosphate binding",17566,10963,"GO:1901981"
"85","query_1",FALSE,0.1996967444506,10,2,1,0.5,0.1,"GO:1901981","GO:MF","phosphatidylinositol phosphate binding",17566,10940,"GO:0035091"
"86","query_1",FALSE,0.299451337112692,6,5,1,0.2,0.166666666666667,"GO:0036374","GO:MF","glutathione hydrolase activity",17566,5460,"GO:0008242,GO:0070003"
"87","query_1",FALSE,0.449023589503925,9,5,1,0.2,0.111111111111111,"GO:0008242","GO:MF","omega peptidase activity",17566,1622,"GO:0008233"
"88","query_1",FALSE,0.498858291589072,10,5,1,0.2,0.1,"GO:0070003","GO:MF","threonine-type peptidase activity",17566,8582,"GO:0008233"
"89","query_1",FALSE,1,148,8,1,0.125,0.00675675675675676,"GO:0000981","GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific",17566,119,"GO:0003700"
"90","query_1",FALSE,1,1878,5,1,0.2,0.00053248136315229,"GO:0140096","GO:MF","catalytic activity, acting on a protein",17566,10409,"GO:0003824"
"91","query_1",FALSE,1,4152,8,1,0.125,0.000240847784200385,"GO:0097159","GO:MF","organic cyclic compound binding",17566,9069,"GO:0005488"
"92","query_1",FALSE,1,2384,10,1,0.1,0.000419463087248322,"GO:0046914","GO:MF","transition metal ion binding",17566,6240,"GO:0046872"
"93","query_1",FALSE,1,3474,3,1,0.333333333333333,0.000287852619458837,"GO:0046872","GO:MF","metal ion binding",17566,6229,"GO:0043169"
"94","query_1",FALSE,1,3498,3,1,0.333333333333333,0.00028587764436821,"GO:0043169","GO:MF","cation binding",17566,5723,"GO:0043167"
"95","query_1",FALSE,1,1928,2,1,0.5,0.000518672199170124,"GO:0043168","GO:MF","anion binding",17566,5722,"GO:0043167"
"96","query_1",FALSE,1,5299,3,2,0.666666666666667,0.000377429703717683,"GO:0043167","GO:MF","ion binding",17566,5721,"GO:0036094"
"97","query_1",FALSE,1,5491,3,2,0.666666666666667,0.000364232380258605,"GO:0036094","GO:MF","small molecule binding",17566,5395,"GO:0005488"
"98","query_1",FALSE,1,57,2,1,0.5,0.0175438596491228,"GO:0035091","GO:MF","phosphatidylinositol binding",17566,5271,"GO:0005543"
"99","query_1",FALSE,1,2384,5,1,0.2,0.000419463087248322,"GO:0016787","GO:MF","hydrolase activity",17566,2979,"GO:0003824"
"100","query_1",FALSE,1,175,2,1,0.5,0.00571428571428571,"GO:0008289","GO:MF","lipid binding",17566,1643,"GO:0005488"
"101","query_1",FALSE,1,2088,10,1,0.1,0.000478927203065134,"GO:0008270","GO:MF","zinc ion binding",17566,1637,"GO:0046914"
"102","query_1",FALSE,1,629,5,1,0.2,0.00158982511923688,"GO:0008233","GO:MF","peptidase activity",17566,1613,"GO:0016787,GO:0140096"
"103","query_1",FALSE,1,87,2,1,0.5,0.0114942528735632,"GO:0005543","GO:MF","phospholipid binding",17566,1510,"GO:0008289"
"104","query_1",FALSE,1,813,3,1,0.333333333333333,0.001230012300123,"GO:0005509","GO:MF","calcium ion binding",17566,1491,"GO:0046872"
"105","query_1",FALSE,1,11703,3,2,0.666666666666667,0.000170896351362898,"GO:0005488","GO:MF","binding",17566,1480,"GO:0003674"
"106","query_1",FALSE,1,5779,5,1,0.2,0.000173040318394186,"GO:0003824","GO:MF","catalytic activity",17566,368,"GO:0003674"
"107","query_1",FALSE,1,395,8,1,0.125,0.00253164556962025,"GO:0003700","GO:MF","DNA-binding transcription factor activity",17566,338,"GO:0140110"
"108","query_1",FALSE,1,1018,8,1,0.125,0.000982318271119843,"GO:0003677","GO:MF","DNA binding",17566,324,"GO:0003676"
"109","query_1",FALSE,1,2203,8,1,0.125,0.000453926463912846,"GO:0003676","GO:MF","nucleic acid binding",17566,323,"GO:0097159"
"110","query_1",FALSE,1,17566,2,1,0.5,5.69281566662871e-05,"GO:0003674","GO:MF","molecular_function",17566,322,""
"111","query_1",FALSE,1,462,8,1,0.125,0.00216450216450216,"GO:0140110","GO:MF","transcription regulator activity",17566,10418,"GO:0003674"
