"","BBB-WBO-B21","BBB-WBV-B70","BBO-BBO-B16","BBO-BBY-B27","BBO-WBO-B16","BBO-WBV-B64","BBR-BBB-B50","BBR-BBG-B38","BBR-BBY-B26","BBY-WBG-B42","BPO-BPO-O16","BPR-BPG-O38","BPR-BPR-O02","BPY-BPG-O42","BPY-BPY-O29","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111131121",1,0,0,1,0,1,1,2,5,1,0,3,0,0,1,5,3,0,0,7,1,0,0,6,0,2,0,0,0,0
"LOC111131123",1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,2,0,0,0,0,2,0
"LOC111131122",0,0,2,0,1,3,5,0,3,0,0,0,0,0,0,3,4,0,0,6,0,2,0,5,0,1,2,0,1,0
"LOC111128783",1,1,1,1,1,2,5,0,3,4,0,3,0,0,1,8,1,0,0,3,0,2,0,14,0,1,0,0,0,0
"LOC111131549",54,41,27,18,18,46,17,25,14,4,4,23,4,4,7,50,17,7,2,39,11,3,1,21,11,8,8,0,24,0
"LOC111129730",29,31,6,1,21,7,2,4,2,0,1,0,2,0,1,7,2,0,1,8,0,2,0,2,0,1,0,0,8,0
"LOC111130505",4,26,19,4,23,2,16,20,3,8,1,3,0,1,1,2,7,2,0,13,4,4,0,7,8,4,0,0,3,1
"LOC111129006",59,55,42,19,52,49,26,27,32,10,3,32,6,2,18,56,19,13,2,39,10,29,7,42,23,8,14,1,30,0
"LOC111128022",49,51,16,16,14,20,18,31,19,3,4,11,9,1,5,6,28,8,2,44,9,10,2,8,15,4,6,1,7,0
"LOC111131281",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,7,0,0,0,0
"LOC111129843",0,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LOC111129032",199,134,116,92,235,124,77,127,174,36,8,116,15,6,27,158,166,30,5,129,76,61,14,117,74,65,28,33,99,2
"LOC111128671",35,63,79,18,20,8,23,32,34,12,2,16,2,3,17,27,66,20,1,36,25,13,1,67,51,21,16,2,11,0
"LOC111130576",1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0
"LOC111129735",2,2,14,0,3,0,2,9,1,1,0,8,1,0,2,4,7,0,0,7,0,5,0,7,0,9,1,0,1,0
"LOC111128470",89,82,58,25,107,80,34,72,42,17,5,38,1,2,15,73,53,9,3,64,23,26,5,34,25,22,28,2,41,0
"LOC111128941",26,14,16,6,29,21,11,17,20,11,1,14,1,0,0,13,15,0,3,30,3,11,0,19,8,6,11,2,18,2
"LOC111128942",30,55,7,8,58,56,12,22,14,16,2,9,1,0,1,30,13,4,1,25,1,7,1,5,0,5,1,1,35,1
"LOC111130417",43,31,17,23,32,42,15,29,35,6,2,15,3,2,5,33,34,1,1,29,5,4,2,8,8,11,3,0,13,0
"LOC111130416",24,11,5,4,18,11,12,11,6,18,0,6,2,0,3,19,5,4,1,14,12,5,6,14,9,6,13,0,19,0
"LOC111131160",0,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"LOC111130099",7,9,41,23,9,8,13,41,50,0,11,15,14,3,10,9,60,4,0,18,3,7,1,16,25,19,3,0,7,1
"LOC111130362",28,36,20,9,55,23,16,19,15,2,2,6,1,0,2,19,13,6,0,27,2,8,2,9,12,13,5,1,17,1
"LOC111131594",72,90,50,49,84,107,41,73,70,9,3,40,5,3,15,91,54,17,9,93,42,31,4,80,41,39,13,1,33,1
"LOC111131359",98,66,67,73,112,125,29,113,120,30,8,64,5,4,18,106,71,17,5,76,19,31,6,68,45,48,45,2,34,3
"LOC111128116",1,3,0,3,7,1,0,0,0,2,0,0,2,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,2,0
"LOC111131124",18,16,15,18,0,0,3,77,15,6,1,1,4,2,1,24,29,0,2,23,1,0,1,26,6,8,1,0,8,1
"LOC111130187",228,99,84,73,200,190,46,135,60,35,5,56,6,6,11,131,90,30,6,119,35,38,8,41,41,49,12,5,105,2
"LOC111129351",130,94,27,23,63,113,29,64,49,28,3,28,7,2,7,69,81,17,1,42,17,31,8,26,19,20,18,5,37,0
"LOC111130246",33,36,37,18,25,11,15,34,12,14,5,15,5,3,11,45,32,6,3,51,7,8,7,27,19,39,10,1,22,1
"LOC111128121",130,115,140,91,210,138,86,157,125,46,20,79,21,4,45,229,126,22,4,177,37,82,28,126,97,82,45,2,78,2
"LOC111129169",56,0,1,7,7,43,7,16,10,5,0,3,0,1,0,8,6,0,0,9,1,11,2,5,1,0,4,0,1,0
"LOC111131630",29,36,8,5,23,18,4,2,8,8,2,8,2,1,2,11,4,2,1,14,0,6,3,7,5,0,3,0,6,0
"LOC111131010",2,3,3,0,6,1,1,0,0,1,0,1,0,0,0,3,0,0,0,3,0,1,0,1,0,1,0,0,0,0
"LOC111127735",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,4,0,0,0,4,0,0,1,0,0,0
"LOC111130584",4,2,23,5,8,6,9,8,7,0,0,3,0,0,1,5,6,2,0,11,1,1,1,3,4,0,1,0,0,0
"LOC111130025",16,2,5,1,16,13,2,14,3,3,1,7,0,0,2,3,8,0,0,6,0,11,4,7,5,3,6,0,5,0
"LOC111129740",31,17,22,9,16,13,12,8,18,1,6,13,6,3,2,23,24,3,1,8,5,1,2,18,8,25,2,13,11,2
"LOC111129195",3,3,0,0,4,2,3,1,1,0,0,1,0,1,0,4,2,0,1,9,0,1,0,8,0,3,0,0,0,0
"LOC111128268",3,41,36,13,58,40,20,23,35,5,2,23,5,1,3,32,32,6,0,25,2,11,10,18,21,20,11,0,6,1
"LOC111128725",65,52,63,24,60,31,42,73,54,17,22,43,21,8,32,60,91,10,2,48,37,27,14,79,47,68,17,2,22,2
"LOC111128724",63,45,84,86,44,43,35,56,67,13,4,29,6,2,15,58,58,18,2,51,23,24,14,68,62,23,20,1,20,1
"LOC111128595",7,2,12,1,3,3,2,3,6,2,0,1,1,0,2,3,1,0,0,5,1,1,0,0,1,2,0,0,3,2
"LOC111128712",40,13,25,13,29,18,13,25,24,5,3,12,0,0,6,24,12,4,0,22,3,12,4,10,10,11,6,0,13,0
"LOC111128709",58,44,47,45,70,54,28,41,44,11,16,28,6,3,11,95,49,10,1,32,14,20,6,52,27,17,21,0,23,0
"LOC111128711",138,102,104,53,89,133,71,133,101,15,5,79,9,17,9,131,116,34,6,104,12,36,2,60,52,23,20,10,32,1
"LOC111128710",2,3,4,0,2,9,2,5,6,0,0,7,1,0,0,5,0,0,1,9,2,0,0,2,2,4,1,0,2,0
"LOC111130562",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,2,3,0,0,0,0
"LOC111131413",105,115,89,55,133,145,45,93,73,16,4,39,2,2,13,85,97,26,5,77,25,27,8,56,46,30,10,2,47,2
"LOC111130272",26,15,51,19,31,21,31,31,50,25,9,17,4,1,13,39,54,2,2,43,13,18,2,58,23,43,32,1,27,2
"LOC111129979",14,13,18,7,27,9,4,11,10,2,0,1,2,1,0,10,11,0,0,11,2,4,2,8,4,3,5,0,4,3
"LOC111128078",1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LOC111130929",42,67,8,4,26,37,3,10,3,2,0,5,0,0,1,3,6,0,1,4,16,1,2,7,16,2,0,0,9,1
"LOC111128062",7,10,17,7,5,4,8,8,8,2,1,4,3,0,0,10,15,0,0,4,0,2,1,4,2,5,4,0,2,0
"LOC111129852",88,92,37,39,126,126,27,69,49,19,2,35,6,12,6,55,48,6,16,69,12,24,6,38,19,10,24,19,52,2
"LOC111129312",187,88,92,94,166,120,50,153,130,35,6,73,8,6,21,140,141,26,12,64,17,34,7,79,69,50,58,32,60,3
"LOC111129197",231,138,129,76,252,192,65,130,122,63,3,96,6,7,22,158,95,29,6,135,25,53,18,69,49,35,35,1,105,1
"LOC111129294",117,149,87,75,125,125,39,111,80,20,8,72,21,11,14,110,89,24,5,53,44,38,12,91,53,56,30,23,52,83
"LOC111128997",28,55,50,29,56,38,29,61,60,4,15,22,13,11,27,62,86,8,7,64,17,18,5,32,37,45,13,31,17,2
"LOC111130593",1,5,27,8,4,2,5,16,7,1,1,4,0,1,2,25,10,3,2,9,3,3,0,11,4,8,8,0,6,0
"LOC111129745",12,6,10,5,9,0,2,3,11,5,0,3,4,0,1,0,20,5,0,14,2,2,3,8,5,1,4,3,6,25
"LOC111128834",199,140,161,142,275,246,92,170,194,68,13,122,14,7,60,224,144,38,15,142,32,58,17,187,131,101,37,6,110,2
"LOC111129082",1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"LOC111130422",2,1,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,7,0,43,0,0,5,0,4,7,0,0,0,0
"LOC111129751",1,1,6,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8,0
"LOC111130120",126,196,118,90,180,147,43,55,104,34,6,58,8,9,17,126,48,26,10,123,51,27,10,119,78,56,29,36,60,2
"LOC111130028",55,54,54,25,33,68,23,44,20,4,3,19,1,2,4,43,22,4,2,45,5,10,5,23,4,7,7,1,24,0
"LOC111130029",104,66,34,16,63,45,16,39,29,10,3,42,5,5,5,49,40,6,3,21,20,14,5,33,16,12,13,4,39,0
"LOC111130464",0,2,8,3,3,0,2,1,0,1,1,1,0,0,1,8,1,8,0,0,1,4,0,4,1,1,2,0,0,0
"LOC111128102",12,12,19,9,11,8,8,38,17,0,0,14,1,0,1,7,12,0,0,15,0,1,0,2,8,3,3,0,0,0
"LOC111130529",30,21,36,9,50,19,14,26,27,20,5,16,3,0,6,25,21,9,2,42,11,19,7,24,15,21,12,0,17,2
"LOC111130530",3,3,4,0,5,5,2,0,1,0,0,1,0,4,2,3,11,2,1,3,0,0,1,6,3,0,2,7,1,9
"LOC111130021",16,6,17,13,28,6,8,43,18,1,0,12,5,0,7,4,44,6,1,11,2,8,0,17,23,14,7,0,2,0
"LOC111131303",1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,2,0,0,0
"LOC111130040",36,45,22,12,34,51,18,47,21,14,2,16,0,0,6,39,40,5,3,15,11,10,1,20,12,16,4,1,6,0
"LOC111129938",46,19,48,13,50,43,20,18,36,5,3,18,14,0,5,40,44,1,1,61,6,24,5,26,22,33,11,46,22,2
"LOC111128430",21,17,11,6,40,30,2,19,34,19,3,4,1,0,3,27,31,2,2,22,5,7,2,64,19,25,3,1,1,0
"LOC111127813",5,1,14,8,16,4,9,8,15,5,1,7,3,1,4,6,24,0,1,14,4,11,0,24,5,5,2,1,0,1
"LOC111127810",0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0
"LOC111128375",6,1,0,2,0,0,0,0,16,0,1,0,0,2,0,17,2,5,0,35,0,0,0,27,5,15,12,0,0,4
"LOC111128376",1,4,0,1,0,1,0,1,0,1,1,0,0,0,0,8,0,3,1,5,0,0,1,0,1,1,2,0,6,0
"LOC111131174",6,1,2,4,2,1,7,9,11,2,3,0,0,0,5,10,7,0,0,6,1,6,0,5,4,7,1,0,0,0
"LOC111130370",152,180,114,50,179,146,68,148,54,35,10,51,36,11,30,191,112,10,4,92,35,39,20,51,27,41,53,5,63,2
"LOC111130645",15,5,16,24,34,43,12,8,5,5,6,7,1,7,0,13,22,7,2,33,7,10,3,17,3,13,6,50,3,2
"LOC111131232",19,26,21,12,25,15,12,13,19,6,0,5,0,1,3,10,1,3,4,16,3,8,1,7,2,7,1,0,13,0
"LOC111131800",16,19,22,11,32,23,23,19,14,19,3,10,2,0,3,17,14,5,1,29,5,12,3,17,9,15,10,0,15,0
"LOC111130071",27,10,27,11,26,5,7,26,19,1,3,9,7,1,7,15,27,7,0,12,1,5,1,14,8,7,8,0,14,0
"LOC111131350",0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,1,0
"LOC111130487",23,63,25,17,67,61,19,45,23,7,5,41,2,2,6,39,33,3,2,35,13,16,5,21,11,23,19,2,29,0
"LOC111129181",135,150,121,100,204,155,49,88,94,37,9,49,32,9,15,164,129,26,12,120,34,37,14,93,65,80,41,23,52,2
"LOC111129940",20,0,0,0,17,0,1,0,0,0,0,1,0,2,0,14,1,0,0,0,1,2,1,0,0,0,1,0,10,0
"LOC111128239",22,11,30,16,8,15,32,15,9,9,5,28,1,1,9,38,37,5,8,48,10,22,2,28,17,14,2,2,36,1
"LOC111130651",65,102,99,70,52,114,36,85,47,6,5,88,14,2,17,54,121,13,6,51,43,24,3,78,39,23,22,4,12,2
"LOC111131395",2,5,3,1,6,3,2,0,5,1,0,2,2,0,0,3,0,0,0,1,2,0,0,6,1,0,3,0,0,0
"LOC111130862",0,3,2,1,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1
"LOC111129769",1,3,2,5,22,13,12,20,17,8,0,0,0,0,2,11,15,0,0,17,2,7,0,18,8,6,7,2,4,0
"LOC111130323",68,70,39,36,46,98,32,54,64,8,5,19,12,6,3,62,43,3,2,68,23,16,4,35,27,36,15,29,7,4
"LOC111131048",18,19,43,27,37,39,23,29,18,6,4,12,3,5,7,22,81,0,0,27,7,10,8,51,16,32,6,35,3,2
"LOC111129516",55,89,48,21,82,68,31,17,23,6,1,14,1,0,4,26,5,3,2,32,5,7,8,17,13,3,7,2,20,1
"LOC111128198",0,0,0,1,0,1,8,0,1,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,1,0,0,0,0
"LOC111129922",54,66,54,17,115,49,25,35,31,17,2,29,1,4,10,55,39,3,3,51,6,11,5,31,19,16,13,1,41,0
"LOC111131337",139,41,44,28,51,81,31,33,62,27,1,9,2,1,8,28,19,3,2,40,6,18,4,22,12,11,24,1,29,3
"LOC111130569",187,192,118,73,91,182,68,102,134,25,6,71,7,7,11,108,88,10,5,101,37,42,10,82,61,45,29,31,68,1
"LOC111129174",236,200,94,63,232,238,73,142,138,33,26,92,26,6,18,179,115,29,22,161,32,57,13,106,57,72,53,18,129,2
"LOC111129478",158,137,117,54,166,167,57,110,77,34,9,53,10,3,23,116,96,23,11,126,27,47,9,103,77,76,46,14,56,4
"LOC111129479",194,158,157,83,194,203,68,137,128,28,13,57,17,4,33,178,129,18,15,129,38,49,10,119,104,77,52,13,80,1
"LOC111131837",18,14,1,2,33,8,11,11,1,1,1,6,1,0,1,8,5,2,1,6,0,3,0,3,5,5,5,2,8,1
"LOC111131586",42,31,46,29,50,31,19,15,52,6,5,26,3,5,6,53,21,12,0,43,11,11,2,26,36,29,22,13,12,3
"LOC111131789",2,0,0,0,0,1,0,79,1,1,0,1,0,0,0,0,28,0,0,5,0,0,0,4,0,1,1,0,2,0
"LOC111131788",0,0,0,0,9,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
"LOC111128923",0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,2,2,0,0,0,0,0
"LOC111128924",2,9,2,5,8,10,2,2,5,0,0,3,0,0,0,2,1,3,0,2,2,0,1,0,1,4,0,0,4,0
"LOC111131615",0,0,2,28,1,1,0,0,28,0,0,0,0,0,0,0,0,2,0,4,0,0,0,20,22,1,0,0,0,0
"LOC111127898",7,1,4,3,5,5,1,1,6,4,2,1,0,0,0,16,1,2,0,8,0,4,1,2,5,3,4,2,0,0
"LOC111128127",7,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111130118",44,10,21,29,25,30,25,92,33,9,3,19,4,0,2,30,49,9,7,15,7,15,1,34,8,3,14,1,14,1
"LOC111130119",118,77,143,60,75,95,36,148,95,21,9,64,9,1,34,76,61,35,2,87,63,53,17,41,30,25,24,8,69,1
"LOC111129781",0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"LOC111128195",2,0,4,2,2,35,2,9,17,0,0,1,0,0,0,4,25,0,1,0,0,0,0,18,3,0,0,0,0,1
"LOC111130332",225,165,241,154,276,193,92,268,193,40,23,156,36,20,81,217,251,58,17,157,108,57,26,196,146,122,48,97,101,1
"LOC111129331",106,83,84,39,89,93,44,76,54,34,6,29,6,4,16,108,108,16,4,93,9,36,7,69,30,41,42,2,69,1
"LOC111131805",221,186,211,142,254,161,89,159,175,29,25,105,24,13,39,186,211,27,5,119,49,64,16,165,116,110,33,21,67,4
"LOC111130688",2,1,4,3,7,2,2,1,1,2,0,5,1,0,1,4,3,0,0,8,1,6,1,4,0,2,1,0,2,0
"LOC111131604",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0
"LOC111129320",154,194,138,62,109,157,66,121,119,24,10,65,13,18,17,146,106,16,10,92,34,28,11,77,60,41,33,2,59,1
"LOC111129319",145,39,50,63,103,99,64,143,75,29,9,73,4,5,14,88,124,16,4,65,19,11,8,63,93,32,26,2,67,3
"LOC111129955",18,21,26,18,32,28,9,27,21,4,2,7,3,3,6,29,24,1,0,24,4,6,2,25,8,11,16,1,9,0
"LOC111129077",115,163,140,100,143,138,44,151,104,35,18,71,15,10,12,109,141,25,7,130,23,42,14,102,59,75,31,4,43,5
"LOC111129263",4,4,3,3,7,1,9,6,9,0,1,1,0,0,2,17,12,0,0,11,0,2,4,7,7,8,0,16,1,0
"LOC111129784",0,0,5,0,4,1,0,11,2,0,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,5,0,0,3,0
"LOC111129870",210,188,164,99,171,168,67,140,143,32,14,100,16,13,18,163,95,23,17,169,69,41,7,135,107,89,59,38,54,2
"LOC111128233",53,46,90,41,42,59,47,76,104,11,8,62,16,4,20,106,73,10,4,66,35,23,8,60,61,54,21,2,17,1
"LOC111130383",66,104,46,53,146,82,25,45,37,23,7,40,4,3,9,63,38,5,3,89,13,17,6,42,36,21,21,2,48,1
"LOC111127757",47,69,25,11,82,29,22,49,31,10,1,35,3,8,9,53,38,6,0,26,12,2,0,41,9,10,15,2,20,1
"LOC111130225",0,6,0,0,1,24,3,1,2,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0
"LOC111130167",64,41,59,32,72,73,35,77,46,23,18,50,11,4,22,113,81,9,9,92,18,36,2,68,31,34,31,0,32,1
"LOC111128966",317,172,240,122,256,225,118,211,182,61,20,102,27,20,43,280,206,43,13,201,66,65,18,187,105,122,53,58,123,132
"LOC111129859",23,6,4,4,29,9,4,10,4,2,1,6,4,0,5,16,21,1,1,14,1,5,0,12,6,23,1,0,7,0
"LOC111129857",2,3,5,28,9,5,10,40,29,6,1,20,4,1,2,25,35,3,1,9,0,10,4,42,11,4,3,1,3,0
"LOC111129858",12,12,12,18,21,2,10,32,26,1,2,26,0,1,5,36,12,2,0,13,3,7,0,2,14,2,7,1,8,0
"LOC111129788",71,132,36,41,64,115,33,116,108,26,1,53,3,2,15,80,84,24,0,81,34,38,9,14,61,28,22,4,43,0
"LOC111128184",0,5,1,0,0,2,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOC111128183",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"LOC111128182",158,154,70,53,123,133,59,94,93,36,11,45,15,16,14,126,109,22,13,126,41,35,7,70,70,44,40,0,44,3
"LOC111129284",2,4,1,1,12,9,0,6,2,0,0,0,1,0,1,3,1,1,1,2,0,1,0,2,2,3,0,0,2,0
"LOC111131845",0,0,0,0,0,0,0,0,6,0,4,0,0,1,0,5,8,1,0,7,1,4,0,7,0,18,0,0,0,0
"LOC111130537",182,133,100,61,189,166,53,122,108,45,14,79,12,7,20,158,85,23,7,97,37,58,11,103,48,33,16,4,85,3
"LOC111130538",31,47,54,30,27,92,19,39,60,10,4,47,10,6,7,39,32,9,1,27,6,10,2,44,31,12,12,75,9,2
"LOC111130181",54,52,87,62,86,40,51,52,98,9,13,41,25,10,19,89,87,22,5,91,41,29,9,71,58,81,48,4,10,108
"LOC111129791",122,91,59,36,120,115,37,37,48,22,8,38,7,6,15,63,57,12,2,24,32,5,7,13,38,14,13,0,70,0
"LOC111129952",91,58,37,13,76,61,15,51,31,8,0,37,2,2,7,47,21,4,3,9,6,15,3,7,4,3,13,0,33,0
"LOC111131785",0,1,3,0,0,2,7,2,0,0,2,1,0,2,0,11,0,0,0,22,1,0,0,0,0,1,53,1,2,0
"LOC111129466",9,42,46,22,33,31,23,45,22,6,8,10,5,3,25,27,49,11,0,30,9,15,3,20,23,15,16,2,7,0
"LOC111129464",1,0,0,2,7,1,0,2,1,1,0,0,0,0,0,2,0,1,0,2,0,2,0,1,0,0,0,0,0,0
"LOC111129465",62,1,2,6,2,27,39,88,41,9,1,0,0,0,0,60,78,9,1,26,4,0,0,34,21,4,13,0,1,1
"LOC111129283",0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,3,1,0,1,0,0,0,3,2,3,0,0,0,0
"LOC111131163",54,33,30,20,18,44,10,3,14,5,2,16,1,0,5,38,7,6,1,37,8,12,8,26,18,6,13,2,8,0
"LOC111131087",0,0,1,0,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LOC111130257",5,1,2,3,4,1,3,2,4,2,0,0,2,2,0,1,6,1,0,3,0,1,1,11,1,10,1,0,1,0
"LOC111128584",52,32,15,11,40,29,5,8,20,8,1,4,4,0,4,36,19,5,12,3,4,6,2,19,14,3,5,0,32,0
"LOC111130949",0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOC111131079",8,8,2,5,16,15,5,18,5,3,0,7,1,0,4,14,16,1,3,8,3,5,1,6,7,4,3,2,4,0
"LOC111129794",1,0,10,0,3,3,2,2,0,0,2,0,1,1,1,3,1,1,0,10,0,2,0,4,1,1,2,0,0,0
"LOC111128972",441,330,294,200,445,458,132,362,237,82,44,192,56,38,61,330,350,66,34,246,112,93,35,228,153,142,94,142,170,6
"LOC111129795",5,6,1,0,5,2,5,6,3,6,0,2,0,1,1,21,5,0,1,4,0,6,0,3,1,0,2,0,4,0
"LOC111129796",37,34,41,17,40,37,28,13,53,2,8,38,17,16,0,19,32,1,3,13,7,5,3,23,43,34,22,16,11,1
"LOC111130912",119,155,96,37,122,60,35,77,50,9,9,51,9,1,22,52,135,15,4,49,22,43,6,102,16,44,17,7,57,3
"LOC111128700",17,8,11,3,15,8,7,6,3,2,1,5,2,3,5,19,8,0,0,12,2,5,1,10,21,11,8,0,10,1
"LOC111128698",127,163,121,110,240,95,43,112,142,21,19,94,25,12,26,99,133,16,9,128,39,23,9,153,96,59,68,45,53,2
"LOC111128701",26,22,4,9,16,29,7,32,12,2,1,14,0,0,1,18,5,2,2,8,0,4,3,16,4,3,6,0,12,0
"LOC111130333",69,67,23,32,81,73,28,45,35,20,7,23,5,3,10,53,27,9,5,18,12,7,4,28,15,13,12,1,35,1
"LOC111131687",34,45,25,31,33,39,2,10,38,4,9,22,12,7,18,55,35,5,5,25,18,12,8,34,29,14,11,1,6,0
"LOC111128143",51,1,38,21,2,22,35,77,31,12,0,0,4,3,4,73,37,4,5,1,1,7,7,22,0,7,11,0,5,0
"LOC111129053",28,28,45,18,37,22,33,44,40,4,5,33,8,5,9,22,57,10,5,29,5,6,3,28,26,23,10,22,7,0
"LOC111129050",28,19,2,1,24,23,7,10,7,10,1,5,1,1,1,10,3,1,0,12,1,3,1,9,2,2,0,1,23,0
"LOC111129049",122,98,62,28,128,102,24,65,47,15,4,46,7,4,12,58,58,10,6,68,10,12,9,21,21,47,26,2,119,3
"LOC111129051",0,16,13,7,13,13,1,1,11,6,0,4,5,1,3,4,12,4,0,3,1,1,0,6,10,5,0,0,1,0
"LOC111131142",54,90,42,40,107,156,29,44,66,13,12,33,6,2,17,59,47,12,8,60,18,16,5,73,22,31,29,3,45,2
"LOC111128883",76,53,32,27,62,63,20,47,39,19,3,25,4,1,5,49,51,3,1,45,4,13,4,31,17,18,14,14,33,1
"LOC111131501",34,45,40,27,63,40,26,40,40,7,6,27,12,3,3,58,33,9,1,30,14,23,7,32,12,17,1,1,15,50
"LOC111129315",24,19,6,8,8,9,4,7,10,7,0,15,2,0,3,23,8,2,2,8,2,3,3,6,6,6,3,1,9,0
"LOC111129314",1,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,1,0,0
"LOC111128361",4,6,12,6,0,6,6,16,11,0,12,8,10,3,5,16,50,3,0,6,4,3,0,9,9,9,7,0,1,0
"LOC111128437",0,1,0,1,2,0,0,1,1,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0
"LOC111130081",13,15,32,8,36,11,14,21,12,8,3,9,6,1,5,18,17,2,1,17,2,10,3,15,5,3,8,0,11,0
"LOC111131112",11,0,1,3,9,8,2,9,5,0,0,1,0,0,0,7,1,0,0,0,2,2,0,0,0,0,0,0,1,0
"LOC111131487",28,13,5,11,24,3,9,28,13,17,6,12,5,1,6,24,26,6,1,16,8,9,1,14,13,3,6,0,13,1
"LOC111128629",0,1,3,0,46,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0
"LOC111128625",51,18,46,38,26,17,15,146,40,5,3,28,3,0,10,50,28,14,3,46,15,31,5,22,22,8,18,3,23,1
"LOC111128617",37,13,14,17,25,21,9,48,22,11,4,12,0,1,4,27,38,5,4,15,8,9,5,24,10,12,17,0,10,0
"LOC111128621",0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"LOC111128619",34,0,0,0,0,0,0,2,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"LOC111128622",7,3,4,3,6,1,4,1,2,4,1,3,1,0,0,13,5,2,0,12,0,4,3,3,4,1,10,0,1,0
"LOC111128626",0,0,0,13,0,1,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,11,1,0,0,0,0
"LOC111128844",3,7,2,0,7,10,0,0,0,1,0,3,1,0,0,0,4,2,0,3,2,0,1,2,2,3,0,0,9,1
"LOC111128843",0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0
"LOC111127942",0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,3,0,0,0,0,5,1
"LOC111131634",1,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,11,0,0,2,0,0,0,8,0,1,0,0,0,0
"LOC111131127",42,38,35,30,51,48,27,7,46,5,8,33,13,7,9,63,27,9,4,49,7,14,6,21,27,29,13,27,11,2
"LOC111127932",31,55,31,23,82,49,16,41,25,7,2,19,4,2,5,24,36,3,2,31,11,8,2,17,13,6,2,2,22,0
