"","BBB-WBO-B21","BBB-WBV-B70","BBO-BBO-B16","BBO-BBY-B27","BBO-WBO-B16","BBO-WBV-B64","BBR-BBB-B50","BBR-BBG-B38","BBR-BBY-B26","BBY-WBG-B42","BPO-BPO-O16","BPR-BPG-O38","BPR-BPR-O02","BPY-BPG-O42","BPY-BPY-O29","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111127966",197,147,112,62,424,152,101,159,191,26,37,90,25,28,42,258,171,49,14,133,59,57,20,185,109,95,66,88,47,21
"LOC111118476",1,16,2,3,8,7,5,9,1,2,0,2,1,0,1,4,2,2,0,0,1,0,1,3,0,3,0,0,3,1
"LOC111135129",48,36,28,13,53,59,24,31,44,10,10,24,8,8,11,49,62,6,3,42,15,21,5,16,20,40,4,45,17,1
"LOC111124109",0,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LOC111118316",30,24,47,21,33,22,32,51,37,10,12,24,5,3,7,41,52,3,3,28,10,12,3,42,15,38,12,6,9,1
"LOC111134171",52,20,20,12,53,31,3,26,24,9,5,17,4,1,5,15,23,3,1,8,8,6,1,17,18,7,12,2,29,1
"LOC111111295",43,33,30,26,46,27,12,17,18,9,4,10,3,1,6,32,12,2,4,10,12,5,0,12,16,12,6,21,12,14
"LOC111104675",8,12,1,1,14,10,8,1,9,3,0,1,0,1,1,11,0,0,0,17,2,6,5,6,5,2,5,0,4,0
"LOC111104690",3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"LOC111130258",29,32,31,7,35,19,10,47,24,10,2,7,1,1,2,38,22,3,2,34,6,20,2,17,7,7,7,1,7,0
"LOC111124761",130,104,20,7,87,25,25,101,40,23,8,14,1,8,12,71,45,27,7,31,12,6,2,14,29,59,22,6,31,0
"LOC111124729",5,3,0,1,2,2,1,3,0,0,1,1,1,0,2,3,0,0,0,18,0,2,0,3,1,3,0,1,4,0
"LOC111121476",0,0,0,0,2,2,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"LOC111121537",0,10,0,9,1,1,6,25,24,3,2,0,1,0,5,14,3,1,2,1,1,0,0,0,2,16,9,0,1,0
"LOC111121602",3,5,6,4,5,5,0,3,4,0,1,3,0,0,3,0,0,0,0,2,2,0,1,0,1,1,0,1,4,0
"LOC111121643",0,1,0,2,18,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"LOC111121500",132,133,133,78,132,135,51,131,153,21,21,98,11,14,18,106,174,19,10,110,43,27,7,77,80,62,41,6,77,2
"LOC111130637",124,122,119,88,47,109,62,69,131,23,17,71,19,5,22,132,81,27,5,87,37,43,13,99,97,69,46,12,43,4
"LOC111130647",136,128,133,85,75,121,68,92,120,24,12,78,14,6,23,142,54,40,6,96,53,32,7,99,74,77,42,9,61,1
"LOC111130653",126,164,118,86,54,147,48,61,113,14,13,71,15,8,40,150,67,23,11,104,46,33,8,106,66,77,48,10,69,1
"LOC111130687",206,175,173,113,104,177,93,116,170,34,24,133,26,15,50,191,111,38,13,141,49,67,15,155,104,87,80,21,78,9
"LOC111130696",70,71,40,38,43,55,20,27,51,19,6,34,6,6,11,64,35,14,4,60,15,17,9,51,30,29,38,9,27,1
"LOC111121491",266,160,113,123,238,162,66,157,167,43,23,121,15,7,35,162,174,34,12,150,42,54,19,136,81,83,43,6,72,3
"LOC111111234",20,0,8,1,14,8,11,17,14,3,0,6,1,1,1,20,22,0,0,15,3,9,2,6,3,5,16,0,0,0
"LOC111104573",4,0,2,0,3,0,0,1,3,1,0,7,0,0,0,7,0,0,0,0,2,1,0,6,1,0,0,0,3,0
"LOC111103358",2,0,4,20,3,2,1,3,3,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1
"LOC111103323",27,73,244,10,14,7,15,40,22,4,0,122,4,0,2,2,25,74,1,2,5,12,1,12,11,10,3,5,90,1
"LOC111103371",1,2,0,2,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,43,0,1,0,1,3,4,0,0,0,0
