GeneID	Length	X2018..BBB.WBO.B21.CV_sorted.bam	X2018..BBB.WBV.B70.CV_sorted.bam	X2018..BBO.BBO.B16.CV_sorted.bam	X2018..BBO.BBY.B27.CV_sorted.bam	X2018..BBO.WBO.B16.CV_sorted.bam	X2018..BBO.WBV.B64.CV_sorted.bam	X2018..BBR.BBB.B50.CV_sorted.bam	X2018..BBR.BBG.B38.CV_sorted.bam	X2018..BBR.BBY.B26.CV_sorted.bam	X2018..BBY.WBG.B42.CV_sorted.bam	X2018..BPO.BPO.O16.CV_sorted.bam	X2018..BPR.BPG.O38.CV_sorted.bam	X2018..BPR.BPR.O02.CV_sorted.bam	X2018..BPY.BPG.O42.CV_sorted.bam	X2018..BPY.BPY.O29.CV_sorted.bam	X2018..WBB.WBV.W69.CV_sorted.bam	X2018..WBG.BBB.W56.CV_sorted.bam	X2018..WBG.WBG.W44.CV_sorted.bam	X2018..WBO.BBR.W03.CV_sorted.bam	X2018..WBO.WBV.W64.CV_sorted.bam	X2018..WBR.BBY.W25.CV_sorted.bam	X2018..WBV.WBO.W23.CV_sorted.bam	X2018..WBV.WBR.W12.CV_sorted.bam	X2018..WBY.BBV.W65.CV_sorted.bam	X2018..WBY.BBY.W30.CV_sorted.bam	X2018..WPB.BPG.G45.CV_sorted.bam	X2018..WPO.BPO.G16.CV_sorted.bam	X2018..WPO.BPY.G28.CV_sorted.bam	X2018..WPR.BPY.G25.CV_sorted.bam	X2018..WPV.BPR.G11.CV_sorted.bam
LOC111113087	1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111136780	12584	695	614	307	292	342	556	159	308	313	123	30	161	41	22	79	363	349	106	28	337	121	150	37	304	185	120	114	94	233	3
LOC111136794	1876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111118408	7262	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
LOC111133372	13155	844	589	392	275	602	644	251	424	436	129	41	199	47	18	80	666	398	102	57	479	198	131	56	441	194	216	171	40	320	9
LOC111118838	5128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111118844	1901	1	3	0	1	0	0	1	0	1	0	0	0	1	0	0	0	4	0	0	1	0	1	0	6	2	0	0	0	1	0
LOC111110627	11266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111137104	10848	277	203	146	119	252	212	133	186	190	52	21	119	25	28	37	189	147	51	18	169	31	67	20	142	84	98	60	27	82	1
LOC111105880	12677	15	12	15	7	21	34	3	7	28	6	0	5	2	2	6	8	19	11	0	18	3	4	5	44	22	3	0	0	8	0
LOC111102585	14944	6	3	2	7	16	26	4	17	4	1	0	2	2	1	0	13	4	0	1	1	1	1	0	1	4	3	1	0	0	1
LOC111099747	89427	37	29	15	28	60	143	13	26	29	8	5	8	8	0	3	53	22	1	1	25	7	9	5	12	21	14	3	4	21	2
LOC111128995	32321	27	7	15	10	28	21	14	22	19	5	3	12	1	1	10	37	34	6	1	16	9	8	2	20	15	25	7	19	9	0
LOC111124195	1586	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC111129046	1419	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111129066	3540	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
LOC111124462	1938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111115406	9873	13	30	26	12	33	25	14	9	18	6	4	0	2	8	2	28	61	1	1	12	0	4	3	1	12	0	3	0	4	1
LOC111135942	25148	22	50	33	23	34	29	14	26	35	5	2	7	0	1	4	50	46	2	0	28	5	4	2	9	19	15	10	0	14	94
LOC111135933	6516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111114441	10029	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	2	2	0	0	4	0	0	0	0	0	1	0	0	0	0
LOC111114430	8719	15	14	3	2	16	9	0	5	7	3	0	1	0	0	0	5	5	2	1	6	0	0	0	0	1	2	1	0	4	0
LOC111111547	2301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
