"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","plot","more_me_in"
"LOC111132239",9.78400191715356,0.58996876123225,0.316897023245786,1.07280515843966,0.283358545861493,1,"hypoxic_vs_control","not significant"
"LOC111134151",0.632042106366927,-0.874222926500156,0.719941483715897,-0.867046753964363,0.385916393034844,1,"hypoxic_vs_control","not significant"
"LOC111134161",13.1560259620808,-0.072216965698599,0.293740528699499,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134157",2.33029126437458,-0.667160298070571,0.53406908090767,-0.781098013316164,0.434744850301476,1,"hypoxic_vs_control","not significant"
"LOC111132241",0.286233552087111,-0.641796526476359,0.680119163286729,-0.576070411812794,0.564567589748594,1,"hypoxic_vs_control","not significant"
"LOC111135927",0.596767657267787,0.0125888419875545,0.699383392044228,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135926",0.785544611997979,-1.32040120113124,0.724752448738511,-1.47691974410623,0.139697151701622,1,"hypoxic_vs_control","not significant"
"LOC111135931",0.238581058161354,-0.520208160689843,0.590124487395117,-0.457883322013251,0.647036269617744,1,"hypoxic_vs_control","not significant"
"LOC111135930",16.9619020208031,0.332542698132133,0.246307709445163,0.335120237681843,0.737534387204932,1,"hypoxic_vs_control","not significant"
"LOC111137661",20.2280070221148,0.500972635075478,0.314610722792509,0.797724352329209,0.425030468721407,1,"hypoxic_vs_control","not significant"
"LOC111134969",44.4259878709296,-0.149511665067682,0.218432620750095,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137848",0.12382477776657,0.0758908892910215,0.506100122516278,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135000",0.737400261178801,0.539874704090963,0.637776305213997,0.454508425165936,0.64946292929698,1,"hypoxic_vs_control","not significant"
"LOC111135001",0.268059077835612,-0.959110681744583,0.658005786064557,-1.0776663317593,NA,NA,"hypoxic_vs_control",NA
"LOC111133341",65.2686744271332,0.0130276560817307,0.159067111832827,0,1,1,"hypoxic_vs_control","not significant"
"LOC111133345",10.1524011924778,-0.373534637636851,0.324481928985344,-0.38071345921526,0.703415880671067,1,"hypoxic_vs_control","not significant"
"LOC111137731",13.4337278307003,-0.428518592953503,0.625235676177927,-0.285522083520233,0.775244188028597,1,"hypoxic_vs_control","not significant"
"LOC111135360",0.450656059555381,-0.444711107683094,0.72032988360527,-0.270308246422541,0.786923121697185,1,"hypoxic_vs_control","not significant"
"LOC111135053",21.0980861419958,0.0170767459635032,0.242432167634704,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137761",20.2821005052004,-0.160022426819805,0.228658680769982,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136180",1.19142998380227,-1.17627084156827,0.689132267824125,-1.34411184153789,0.178912223468161,1,"hypoxic_vs_control","not significant"
"LOC111136448",25.4388551501359,0.156855836538307,0.306440852891981,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136449",6.4727593134946,-0.452898144836979,0.380062884696191,-0.53385414100398,0.593442452236046,1,"hypoxic_vs_control","not significant"
"LOC111136450",0.68943220972414,0.390169840231989,0.597511271094675,0.234589449626933,0.814527399048605,1,"hypoxic_vs_control","not significant"
"LOC111136451",4.67652308229677,0.366081059419004,0.445828543978392,0.260371528442626,0.794577202761288,1,"hypoxic_vs_control","not significant"
"LOC111138192",0.486128581360532,-0.0914556219991123,0.724359429305041,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135575",14.811398286497,0.551124559886941,0.386104697761425,0.779903900762705,0.435447442269204,1,"hypoxic_vs_control","not significant"
"LOC111135867",18.9235976389079,0.384428035506451,0.328200302045772,0.409591443604775,0.682105674626647,1,"hypoxic_vs_control","not significant"
"LOC111132810",0.270944370866337,0.351468591591535,0.713220171998098,0.142268258211583,0.886868117739689,1,"hypoxic_vs_control","not significant"
"LOC111137552",9.92607640921772,0.94920483842579,0.436211924422123,1.6029017073572,0.108956356694059,1,"hypoxic_vs_control","not significant"
