"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","phase1","more_me_in"
"LOC111128306",4.90606428801542,0.135374886982881,0.166315285765638,0,1,1,"control","not significant"
"LOC111100637",8.00505930730835,-0.204500047805601,0.292806953555784,0,1,1,"control","not significant"
"LOC111111564",10.0191569276824,0.104822954521784,0.278113185190011,0,1,1,"control","not significant"
"LOC111132626",0.290027738225177,-0.0602638708228755,0.122318555455167,0,1,1,"control","not significant"
"LOC111118716",0.257202115947732,-0.0023093606387688,0.115006641412338,0,1,1,"control","not significant"
"LOC111121419",0.220176171511969,-0.010718020704883,0.1127209226565,0,1,1,"control","not significant"
"LOC111137561",4.39542063104711,-0.357778332972019,0.290603131192471,-0.370878085620612,0.710728338108643,1,"control","not significant"
"LOC111104106",1.43997396986975,0.291187806150984,0.187065754265097,0.220178227237765,0.825732352712912,1,"control","not significant"
"LOC111125887",0.881347865463912,-0.101082128473181,0.119400366670939,0,1,1,"control","not significant"
"LOC111125896",1.7891393060439,-0.0511447095372223,0.243181033638145,0,1,1,"control","not significant"
"LOC111127890",0.227995554664908,-0.0592002048103302,0.114090033807595,0,1,1,"control","not significant"
"LOC111119531",6.66052739200034,-0.0631011145407755,0.286657630423929,0,1,1,"control","not significant"
"LOC111125338",0,NA,NA,NA,NA,NA,"control",NA
"LOC111127317",49.78069207731,-0.0770700702493479,0.17934769438751,0,1,1,"control","not significant"
"LOC111128784",4.30899865481697,0.278085756439251,0.272816474869311,0.1029474354608,0.918004689617582,1,"control","not significant"
"LOC111130848",0.2373812045519,0.0184302963446117,0.130287214042775,0,1,1,"control","not significant"
"LOC111123891",36.8273999109921,0.38562977913466,0.265170105001696,0.511482164001078,0.609013474509131,1,"control","not significant"
"LOC111130860",22.4798373422438,-0.0786056099365595,0.216000857469497,0,1,1,"control","not significant"
"LOC111111488",0.444436901985457,0.116920722127839,0.137980666603576,0,1,1,"control","not significant"
"LOC111130870",1.79434666175884,0.437548688753103,0.236786348778218,0.79205870490772,0.42832644711355,1,"control","not significant"
"LOC111129292",0,NA,NA,NA,NA,NA,"control",NA
"LOC111123767",0,NA,NA,NA,NA,NA,"control",NA
"LOC111127104",34.4352284570522,0.125326816788143,0.221275538239693,0,1,1,"control","not significant"
"LOC111100578",8.74840810987129,-0.0325184676473785,0.296935733104069,0,1,1,"control","not significant"
"LOC111119653",0.167282363257855,0.0464238606800995,0.113340647765204,0,1,1,"control","not significant"
"LOC111130876",1.39339761344905,-0.341379874045266,0.208660232952129,-0.437936221734358,0.661432517319068,1,"control","not significant"
"LOC111130886",31.6030771168339,0.338067971683706,0.225363117678377,0.390782540599169,0.695957981431115,1,"control","not significant"
"LOC111099410",0.783774878979422,-0.0723150911131309,0.167879431946232,0,1,1,"control","not significant"
"LOC111109628",0.952589666266954,-0.091873873700485,0.156391486929904,0,1,1,"control","not significant"
"LOC111137420",39.0567692053448,0.43328794752814,0.202045022141016,0.90716388647385,0.36432013797857,1,"control","not significant"
"LOC111137407",32.5326426413412,-0.22281767704664,0.208376508498241,0,1,1,"control","not significant"
"LOC111111015",8.61851310722623,-0.378142640732272,0.294279869940193,-0.435444805512231,0.663239594003972,1,"control","not significant"
"LOC111101857",0.413091844793379,0.0240066580715402,0.164636001347585,0,1,1,"control","not significant"
"LOC111114229",18.3720772558303,0.0304198506563578,0.25360770807146,0,1,1,"control","not significant"
"LOC111129268",0.10310720007106,0.00266852855976911,0.112671417094856,0,1,1,"control","not significant"
"LOC111129259",0.574645566880283,0.106356829089734,0.139067435599922,0,1,1,"control","not significant"
"LOC111119081",0.946974835345347,0.0929847337267213,0.135401074556365,0,1,1,"control","not significant"
"LOC111102556",22.0375880704773,-0.164454423246857,0.284493525804428,0,1,1,"control","not significant"
"LOC111120179",1.81498413519584,0.181717192401333,0.143412239402577,0,NA,NA,"control",NA
"LOC111100957",77.805431119773,-0.365733100053881,0.222085841249695,-0.521118768322384,0.602284037262614,1,"control","not significant"
"LOC111118371",28.6891458098362,0.0320211535054212,0.222029676937615,0,1,1,"control","not significant"
"LOC111130926",6.61910082175426,-0.446214015517834,0.302244890045221,-0.649188859697434,0.516216311498098,1,"control","not significant"
"LOC111130935",69.6687844191095,0.0333700962609622,0.217791138127821,0,1,1,"control","not significant"
"LOC111119534",2.19164347176571,-0.136333423386912,0.20553632215645,0,1,1,"control","not significant"
"LOC111135084",21.0878517280387,0.135818588124115,0.26466663934912,0,1,1,"control","not significant"
"LOC111123961",43.7700137949841,-0.0465031990750556,0.191719281440791,0,1,1,"control","not significant"
"LOC111123914",2.35388305493464,-0.0317480370369249,0.118136383083997,0,NA,NA,"control",NA
"LOC111108835",0.55301719784942,0.00970030890494539,0.174071836498075,0,1,1,"control","not significant"
"LOC111109472",14.8658506211982,-0.18593579061895,0.274712023780591,0,1,1,"control","not significant"
"LOC111137060",1.08005199382639,0.0243663325555498,0.15160256025103,0,1,1,"control","not significant"
"LOC111137068",0.349120746670586,-0.0219799729572855,0.125114121578092,0,1,1,"control","not significant"
"LOC111134266",16.9038739196557,-0.00671885136624398,0.302331964697488,0,1,1,"control","not significant"
"LOC111112803",0.538596165482267,0.00283235610153087,0.117744688446411,0,1,1,"control","not significant"
"LOC111132223",0.38879686069981,-0.0759743205241311,0.11440060628874,0,1,1,"control","not significant"
"LOC111132242",0.721279632673757,-0.111806662223387,0.18615200417709,0,1,1,"control","not significant"
"LOC111132215",20.328337544689,-0.0265148709340005,0.249120212724876,0,1,1,"control","not significant"
"LOC111138488",19.8021820476089,-0.242520532433455,0.240094392604107,0,1,1,"control","not significant"
"LOC111137818",1.03019316616011,0.0382994249861175,0.185475158629065,0,1,1,"control","not significant"
"LOC111126382",114.921012257419,0.160850487041604,0.143612633523036,0,1,1,"control","not significant"
"LOC111126441",1.06267197228381,0.21441253222886,0.197734338013696,0,1,1,"control","not significant"
"LOC111126395",28.0078549379214,-0.340937680697034,0.259428377219825,-0.350530969940806,0.725940252002516,1,"control","not significant"
"LOC111126874",22.7843318225279,-0.0256824773566982,0.233146939998894,0,1,1,"control","not significant"
"LOC111138441",0.610636876731951,-0.0651710767046606,0.165319165858229,0,1,1,"control","not significant"
"LOC111137635",1.20535317921167,-0.0995338895110427,0.218699161591984,0,1,1,"control","not significant"
"LOC111137607",0.505553545983484,-0.0228358731008483,0.137188010425763,0,1,1,"control","not significant"
"LOC111137668",2.91154048754313,-0.159909612491199,0.251159299470877,0,1,1,"control","not significant"
"LOC111114550",1.64351235276827,0.246457278388894,0.256820162921876,0,1,1,"control","not significant"
"LOC111110435",30.1049271010334,0.122770139786496,0.204350122094863,0,1,1,"control","not significant"
"LOC111101089",0.540491551928268,-0.111486674784861,0.158013526942626,0,1,1,"control","not significant"
"LOC111132155",13.2482294588233,0.819016654242043,0.279824676305628,2.03347560963693,0.0420044952931284,1,"control","not significant"
"LOC111128808",0.121541110044141,-0.015277092212689,0.112983548362631,0,1,1,"control","not significant"
"LOC111108767",21.0827070139138,0.212476073074204,0.283300464267772,0,1,1,"control","not significant"
"LOC111131814",23.5409586580051,-0.282228713393012,0.245138919175563,-0.131471222527219,0.895402550050062,1,"control","not significant"
"LOC111130762",0.213275683254049,-0.0154669321771256,0.11333483488892,0,1,1,"control","not significant"
"LOC111127446",25.6736558093189,-0.172826580968419,0.242798070486832,0,1,1,"control","not significant"
"LOC111102092",40.9178839799071,-0.0747209353269407,0.193116347138215,0,1,1,"control","not significant"
"LOC111115194",0.768917433565253,0.0550811976706242,0.196225565676023,0,1,1,"control","not significant"
"LOC111099502",8.68228273492644,0.471037496657049,0.300218218804251,0.736256105766755,0.461574853571593,1,"control","not significant"
"LOC111105709",1.97361162072298,0.111264532865687,0.251287689192898,0,1,1,"control","not significant"
"LOC111101208",0.816300811386171,0.0751435918897871,0.170803245899022,0,1,1,"control","not significant"
"LOC111101449",0.618398029766973,0.0884532277379312,0.115314743294895,0,1,1,"control","not significant"
"LOC111125391",18.3190231909303,0.108198551086574,0.246724742098071,0,1,1,"control","not significant"
"LOC111125430",0,NA,NA,NA,NA,NA,"control",NA
"LOC111125435",0.670861721182599,-0.158202749205288,0.184951100342087,0,1,1,"control","not significant"
"LOC111118239",78.6517461872591,0.117117662448707,0.152802007320318,0,1,1,"control","not significant"
"LOC111135155",19.5837446016849,-0.649845359772225,0.279398255098792,-1.43109469180774,0.152403078411429,1,"control","not significant"
"LOC111138286",20.8964314931342,-0.107976404829108,0.250730827793315,0,1,1,"control","not significant"
"LOC111115832",0.0879439857291386,-0.00338783111521756,0.112664108891618,0,1,1,"control","not significant"
"LOC111125536",26.9255926348045,0.125352406463631,0.240402599549819,0,1,1,"control","not significant"
"LOC111099029",20.0520774916005,0.553601225821646,0.29060883369151,1.04470749207826,0.29615818109066,1,"control","not significant"
"LOC111115167",4.2130578458406,-0.13409531280073,0.283028146342982,0,1,1,"control","not significant"
"LOC111114604",0.289855581771047,0.0472342418806676,0.136836570302029,0,1,1,"control","not significant"
"LOC111120595",0.717454753955428,-0.0429982167168918,0.174005858607572,0,1,1,"control","not significant"
"LOC111108095",8.06034071723505,0.0783411427962378,0.29560136118569,0,1,1,"control","not significant"
"LOC111107343",5.46742874145879,0.0880282186335827,0.30043518558521,0,1,1,"control","not significant"
"LOC111102428",0.256788868273678,-0.0407716796236781,0.116769996459062,0,1,1,"control","not significant"
"LOC111122131",2.57327844179614,-0.276970166547032,0.282605062050615,-0.0954341240434047,0.923970012693583,1,"control","not significant"
"LOC111120824",3.5870431823623,0.18308310596141,0.277339693133348,0,1,1,"control","not significant"
"LOC111100900",9.70975073609635,-0.197944065840183,0.293253584267647,0,1,1,"control","not significant"
"LOC111116870",0.109221463281496,0.0102755077735793,0.112892796236696,0,1,1,"control","not significant"
"LOC111111855",20.8014979892999,-0.315298871567379,0.24230681879366,-0.269488377968368,0.787553884558342,1,"control","not significant"
"LOC111120335",8.51735996754111,0.0113858854156384,0.281559661650693,0,1,1,"control","not significant"
"LOC111120324",0.0378121694832467,0.0136316369936763,0.112018026592136,0,1,1,"control","not significant"
"LOC111137504",18.3939746889797,-0.350287039760201,0.260675741350959,-0.384719495724691,0.700445249408812,1,"control","not significant"
"LOC111137464",5.5333578766909,0.751605874862585,0.281127024074597,1.78426772208667,0.0743801725385004,1,"control","not significant"
"LOC111137512",3.0967609390485,-0.0492782215076992,0.27763004314227,0,1,1,"control","not significant"
"LOC111112613",41.2691514221379,-0.402302595727694,0.192996542948993,-0.789146755690571,0.430026237374129,1,"control","not significant"
"LOC111112620",1.64134204425217,0.0558748839131762,0.140621020092735,0,1,1,"control","not significant"
"LOC111129301",4.86934489120183,0.12480493816886,0.297184702578778,0,1,1,"control","not significant"
"LOC111129281",0.125255148606364,0.014452447978454,0.113009853916662,0,1,1,"control","not significant"
"LOC111129311",0.225149316721222,-0.0094189749435036,0.128649874584351,0,1,1,"control","not significant"
"LOC111100708",0.293126277402207,0.0162973984215991,0.136552873445918,0,1,1,"control","not significant"
"LOC111111509",4.71421911047287,-0.422818789357025,0.242588565058419,-0.712394623033477,0.476220444229724,1,"control","not significant"
"LOC111110039",0.0695100757560568,0.0160173623760913,0.11210291119442,0,1,1,"control","not significant"
