Symbol,log2fc
LOC111130710,NA
LOC111103382,0.0287465401178481
LOC111103323,0.422756450758617
LOC111103371,NA
LOC111103390,NA
LOC111103401,NA
LOC111103376,NA
LOC111103364,NA
LOC111103397,NA
LOC111103418,NA
LOC111103431,NA
LOC111114348,NA
LOC111113021,0.0817420739258966
LOC111105397,0.0661483571758301
LOC111099041,0.518320597782836
LOC111099044,NA
LOC111106983,NA
LOC111106990,-0.186531518982395
LOC111101696,NA
LOC111127424,0.241730399478169
LOC111127416,-0.142372904078634
LOC111130719,NA
LOC111100099,NA
LOC111100174,NA
LOC111102085,0.530001369923799
LOC111100597,NA
LOC111130728,-0.0315916722394396
LOC111100624,NA
LOC111100606,NA
LOC111100615,0.0392013350985817
LOC111137805,NA
LOC111137796,0.106683224181081
LOC111137812,0.00797144032523371
LOC111137367,-0.0412101170011605
LOC111137514,0.022676405599369
LOC111105370,-0.62688246352753
LOC111105035,0.223046651700109
Trnae-uuc,NA
LOC111131375,0.704725115612426
LOC111121096,0.00518504860328306
LOC111119818,0.0156197877833463
LOC111112007,NA
LOC111134598,1.03415872302595
LOC111135077,-0.210962557682805
LOC111125571,-0.0442416925213375
LOC111125589,0.0319970836736715
LOC111099659,0.0896457717092128
LOC111121270,-0.0611908911513199
LOC111128222,-0.602623033872719
LOC111128188,0.401454149342834
LOC111128242,NA
LOC111128251,NA
LOC111128259,NA
LOC111128319,NA
LOC111128278,NA
LOC111128335,NA
LOC111128267,NA
LOC111128231,NA
LOC111128314,NA
LOC111128306,NA
LOC111128293,NA
LOC111100637,0.428472707529642
LOC111111564,0.259411485624591
LOC111132592,0.029758243214507
LOC111132666,0.0235475561919994
LOC111132676,0
LOC111132686,-0.00838450041083466
LOC111132696,-0.00299922916998527
LOC111132603,-0.155998898497014
LOC111130754,-0.337101496627134
LOC111132704,-0.00857593059518913
LOC111130799,NA
LOC111132545,-0.106479557718427
LOC111132570,-0.890512672986487
LOC111130808,0.0337788272848768
LOC111132626,0.356254939094306
LOC111132648,NA
LOC111132637,0.0481838906086554
LOC111130821,NA
LOC111136926,0.304804199885818
LOC111130831,NA
LOC111118716,-0.103609839567333
LOC111111325,NA
LOC111116154,NA
LOC111122704,-0.609988568300025
LOC111121419,-0.204372138707713
LOC111115085,-0.272127258355451
LOC111137561,0.0447820980390249
LOC111110225,NA
LOC111104106,0.279544264631628
LOC111125887,0.161839944871275
LOC111125896,0.207364185069353
LOC111125882,-0.180373799625311
LOC111122605,0.25114147306007
LOC111127890,-0.0511761681030031
LOC111119531,-0.721365077686451
LOC111102427,NA
LOC111125338,-0.0171084433843244
LOC111125382,0.0292248054831334
LOC111130840,-0.058665894283211
LOC111127317,-0.0967092825043258
Trnav-cac,NA
LOC111128791,NA
Trnav-cac_1,NA
LOC111128774,0.0176975062022223
Trnav-cac_2,NA
LOC111128784,1.24364325752731
LOC111130848,-0.513632155531453
LOC111123891,0.283347398015758
LOC111101094,NA
LOC111110267,NA
LOC111137833,-0.00878674095998628
LOC111137826,0.007275002433608
