Symbol,log2fc
LOC111129259,0.0999820404504634
LOC111119081,-0.16515345009612
LOC111123731,-0.0671646259896358
LOC111130903,0.221729074653135
LOC111102556,0.0877715387567012
LOC111123911,NA
LOC111120179,-0.0005474457962008
LOC111100957,0.231567574396154
LOC111118371,0.331844624241418
LOC111130919,NA
LOC111130926,0.383960581886243
LOC111130935,-0.113718384461177
LOC111115104,NA
LOC111100011,0.107045536845109
LOC111100027,0
LOC111114533,NA
LOC111114772,NA
LOC111109516,0
LOC111127903,NA
LOC111128030,-0.10529738786486
LOC111127982,NA
LOC111130942,NA
LOC111120471,NA
LOC111105410,NA
LOC111122025,-0.100849058277787
LOC111119534,-0.44788329123476
LOC111105859,NA
LOC111135084,-0.00359010263975507
LOC111123961,0.12919894880964
LOC111123977,NA
LOC111123914,-0.748679509091072
LOC111123991,NA
LOC111123981,NA
LOC111123943,0
LOC111123967,NA
LOC111123984,NA
LOC111123922,-0.0421465461320499
LOC111101216,0.00563813511927389
LOC111108835,-0.261900901938509
LOC111109398,0.126742799445297
LOC111109472,0.168320760222895
LOC111100372,-0.0215744164648927
LOC111137060,-0.108724663470638
LOC111137068,0.0646877594284318
LOC111134266,-0.342264998474004
LOC111114134,-0.0193873653386289
LOC111112803,0.0511543355081196
LOC111132223,-0.339344581194419
LOC111132259,NA
LOC111132242,-0.16745622413694
LOC111132201,NA
LOC111132269,NA
LOC111132215,0.378241879840033
LOC111132290,NA
LOC111138481,-0.0511028876388054
LOC111138488,-0.237843106261635
LOC111137818,0.0275679913364794
LOC111126382,-0.241558319548219
LOC111126441,NA
LOC111126395,-0.551843108063801
LOC111126874,-0.0466413458509057
LOC111138441,0.217483090751036
LOC111138463,NA
LOC111114945,NA
LOC111114939,NA
LOC111137650,NA
LOC111137660,NA
LOC111137635,-0.293449635593355
LOC111137607,NA
LOC111137668,NA
LOC111137629,0
LOC111137619,0.00649009290379798
LOC111114550,0.791635895902616
LOC111110435,0.690605743901316
LOC111101089,-0.345890302819224
