gene_id,logP
LOC111100520,NA
LOC111134490,NA
LOC111127057,NA
LOC111108254,NA
LOC111099904,0
LOC111099913,NA
LOC111101877,NA
LOC111120441,NA
LOC111122838,-3.07703180514172
LOC111100534,NA
LOC111109154,NA
LOC111109694,0
LOC111103058,NA
LOC111134356,NA
LOC111134428,NA
LOC111119299,NA
LOC111119141,NA
LOC111119237,NA
LOC111132859,0
LOC111132866,NA
LOC111099439,0
LOC111099451,NA
LOC111099420,NA
LOC111119071,NA
LOC111108264,NA
LOC111101837,NA
LOC111101848,NA
LOC111109856,NA
LOC111112131,0
LOC111112204,NA
LOC111113633,NA
LOC111137100,NA
LOC111100528,NA
LOC111134093,0
LOC111103552,0
LOC111126139,NA
LOC111120794,NA
LOC111099071,NA
LOC111110341,-0.035780067385471
LOC111131266,0
LOC111111300,0
LOC111135498,0
LOC111137168,0
LOC111126066,-3.23969365035602
LOC111126056,NA
LOC111111493,0
LOC111109580,NA
LOC111110584,NA
LOC111111115,NA
LOC111111121,NA
LOC111111108,NA
LOC111111050,0
LOC111111126,NA
LOC111126256,NA
LOC111115473,NA
LOC111111466,NA
LOC111108270,NA
LOC111115224,0
LOC111108278,NA
LOC111109086,-0.604526002590381
LOC111131447,0
LOC111117915,NA
LOC111117925,NA
LOC111117828,NA
LOC111124455,NA
LOC111108287,-0.604528975919608
LOC111128735,NA
LOC111128742,NA
LOC111129617,0
LOC111129562,NA
LOC111129580,NA
LOC111129635,NA
LOC111101421,NA
LOC111102484,-1.24299386562906
LOC111120815,NA
LOC111108296,0
LOC111101662,NA
LOC111116092,NA
LOC111133382,0
LOC111120397,0
LOC111129410,0
LOC111129389,0
LOC111129398,0
LOC111103032,NA
LOC111134794,0
LOC111124036,0
LOC111100870,NA
LOC111100854,0
LOC111100876,NA
LOC111108306,NA
LOC111100888,0
LOC111136332,NA
LOC111136341,0
LOC111136342,NA
LOC111103623,0
LOC111136762,0
LOC111110868,NA
LOC111124680,NA
LOC111127958,NA
LOC111127312,NA
LOC111126481,NA
LOC111123641,0
LOC111119057,0
LOC111103494,NA
LOC111108311,NA
LOC111108319,NA
LOC111110217,0
LOC111099932,0
LOC111122035,NA
LOC111122046,NA
LOC111115950,NA
LOC111100345,NA
LOC111135300,NA
LOC111121184,0
LOC111118009,NA
LOC111110712,0
LOC111115068,NA
LOC111115059,0
LOC111099459,NA
LOC111134128,NA
LOC111133318,NA
LOC111119787,NA
LOC111108326,NA
LOC111119524,NA
LOC111122487,NA
LOC111113850,NA
LOC111117066,NA
LOC111115492,NA
LOC111130677,-0.238378412195997
LOC111130681,NA
LOC111130661,NA
LOC111130672,NA
LOC111137785,0
LOC111137858,NA
LOC111138029,NA
LOC111138266,0
LOC111138179,NA
LOC111137948,0
LOC111137665,0
LOC111105450,NA
LOC111105466,NA
LOC111105479,NA
LOC111109144,NA
LOC111108336,0
LOC111120094,-0.225895939269782
LOC111108343,NA
LOC111120102,0
LOC111108352,0
LOC111120082,0
LOC111104011,NA
LOC111118554,NA
LOC111113360,0
LOC111112758,NA
LOC111108358,0
LOC111108365,NA
LOC111113389,NA
LOC111108371,NA
LOC111122528,NA
LOC111108378,NA
LOC111105643,NA
LOC111105610,NA
LOC111105587,NA
LOC111105659,NA
LOC111105619,NA
LOC111105600,0
Trnas-gcu_3,NA
Trnas-gcu_4,NA
Trnas-gcu_5,NA
LOC111108384,NA
LOC111135003,0
LOC111100168,0
LOC111126125,-0.653469481293208
LOC111126115,0
LOC111102665,0
LOC111137965,NA
LOC111130835,NA
LOC111130743,0
LOC111134784,0
LOC111127708,0
LOC111108389,NA
LOC111112024,0
LOC111133206,0
LOC111133212,NA
LOC111099343,0
LOC111137267,NA
LOC111114580,NA
LOC111114569,NA
LOC111136397,0
LOC111099573,0
LOC111099548,-8.07910018316164
LOC111099557,0
LOC111102674,NA
LOC111113980,0
LOC111099975,NA
LOC111118801,-0.920716062095345
LOC111118811,-3.73940206333368
LOC111118824,NA
LOC111108397,0
LOC111116850,NA
LOC111108404,0
LOC111136167,NA
LOC111136182,NA
LOC111112292,0
LOC111112280,NA
LOC111114702,0
LOC111114710,0
LOC111128885,0
LOC111108411,NA
LOC111123378,NA
LOC111123305,0
LOC111123603,NA
LOC111123464,NA
LOC111123528,NA
LOC111128689,0
LOC111105388,NA
LOC111113337,0
LOC111129485,NA
LOC111108418,NA
LOC111129455,NA
LOC111129473,0
LOC111129509,NA
LOC111129519,NA
LOC111129495,NA
LOC111129514,NA
LOC111108427,NA
LOC111129463,NA
LOC111129500,NA
LOC111106772,NA
LOC111120805,NA
LOC111138205,NA
LOC111122575,NA
LOC111116201,NA
LOC111135835,0
LOC111135871,NA
LOC111135842,0
LOC111135821,NA
LOC111136948,NA
LOC111129798,NA
LOC111129809,NA
LOC111132383,0
LOC111118532,NA
LOC111112934,NA
LOC111133682,0
LOC111133709,0
LOC111133728,NA
LOC111133700,NA
LOC111133718,-0.0477117924423975
LOC111133762,NA
LOC111133693,-0.553194929488392
LOC111115968,NA
LOC111101303,NA
LOC111101629,NA
LOC111130956,NA
LOC111130952,0
LOC111125309,NA
LOC111125315,0
LOC111108434,0
LOC111101671,NA
LOC111099782,NA
LOC111099775,NA
LOC111119762,NA
LOC111108440,NA
LOC111135989,NA
LOC111114541,NA
LOC111119765,NA
LOC111103805,0
LOC111113160,-0.00768617018259287
LOC111113158,NA
LOC111108444,NA
LOC111124617,NA
LOC111124609,NA
LOC111102276,0
LOC111103466,NA
LOC111108452,NA
LOC111102478,NA
LOC111114627,NA
LOC111114636,NA
LOC111108772,0
LOC111118104,0
LOC111110172,NA
LOC111125420,-0.00662827931468403
LOC111108458,NA
LOC111129052,NA
LOC111130917,NA
LOC111108466,NA
LOC111131103,NA
LOC111108473,NA
LOC111111425,NA
LOC111108480,NA
LOC111109225,NA
LOC111108487,NA
LOC111130913,0
LOC111108973,NA
LOC111120381,0
LOC111099638,NA
LOC111106982,NA
LOC111106902,0
LOC111110497,NA
LOC111109896,NA
LOC111133285,0
LOC111122411,0
LOC111115659,NA
LOC111113622,NA
LOC111105112,0
LOC111118325,-1.5998840973277
LOC111111280,NA
LOC111104225,NA
LOC111114067,NA
LOC111110162,NA
LOC111108493,NA
LOC111138017,0
LOC111132777,0
LOC111132766,0
LOC111132786,-0.168431471410353
LOC111108502,NA
LOC111127323,0
LOC111127343,NA
LOC111127387,0
LOC111127333,0
LOC111111555,NA
LOC111103946,NA
LOC111103953,NA
LOC111103937,NA
LOC111135351,0
LOC111134181,0
LOC111113720,0
LOC111120552,0
LOC111108512,NA
LOC111132409,-6.91900873337946
LOC111103534,-1.2909429884209
LOC111099604,0
LOC111099594,NA
LOC111099580,0
LOC111099611,NA
LOC111129057,0
LOC111131784,NA
LOC111099143,NA
LOC111128934,-2.29965446277982
LOC111128076,-1.04039573749108
LOC111122732,0
LOC111122759,0
LOC111136265,-0.875932189291435
LOC111105334,NA
LOC111105329,NA
LOC111124885,NA
LOC111135438,NA
LOC111135447,NA
LOC111134980,NA
LOC111134971,0
LOC111134989,NA
LOC111119908,NA
LOC111109352,0
LOC111109369,0
LOC111109392,0
LOC111108520,0
LOC111108526,NA
LOC111112586,NA
LOC111113737,NA
LOC111115791,NA
LOC111102334,NA
LOC111113431,NA
LOC111123787,NA
LOC111108533,NA
LOC111110967,0
LOC111136410,-0.346430703586859
LOC111110665,0
LOC111113666,0
LOC111122585,NA
LOC111115568,NA
LOC111114670,0
LOC111100439,0
LOC111119878,0
LOC111108541,NA
LOC111108546,0
LOC111113427,-0.674364959736538
LOC111119507,NA
LOC111119464,NA
LOC111132907,-0.170767745607575
LOC111108555,NA
LOC111137167,NA
LOC111119007,NA
LOC111105720,0
LOC111108563,NA
LOC111105343,0
LOC111118487,0
LOC111116024,0
LOC111116050,NA
LOC111138142,-0.990066790296314
LOC111138151,0
LOC111112270,0
LOC111133219,0
LOC111133251,-0.90258352781237
LOC111108571,NA
LOC111123652,NA
LOC111123632,0
LOC111110610,NA
LOC111124200,0
LOC111108584,0
LOC111127765,0
LOC111105052,NA
LOC111105155,NA
LOC111121902,NA
LOC111121847,0
LOC111121962,NA
LOC111121931,NA
LOC111121882,NA
LOC111121911,NA
LOC111121953,NA
LOC111108592,NA
LOC111121943,NA
LOC111121840,0
LOC111108603,NA
LOC111121969,NA
LOC111121865,NA
LOC111108613,NA
LOC111108620,NA
LOC111108627,NA
LOC111121990,NA
LOC111111842,NA
LOC111124431,NA
LOC111124421,0
LOC111124447,NA
LOC111112342,NA
LOC111101946,0
LOC111102009,NA
LOC111101998,NA
LOC111101979,NA
LOC111101935,0
LOC111101969,NA
LOC111108635,NA
LOC111122436,0
LOC111118777,NA
LOC111122452,NA
LOC111122456,NA
LOC111122442,0
LOC111122450,NA
LOC111118784,NA
LOC111118785,NA
LOC111118788,NA
LOC111118789,NA
LOC111122457,NA
LOC111122454,-0.351349851757179
LOC111122438,NA
LOC111122440,NA
LOC111122444,0
LOC111122445,NA
LOC111122447,0
LOC111122453,NA
LOC111122455,NA
LOC111122439,NA
LOC111118795,NA
LOC111122435,0
LOC111122443,0
LOC111122441,NA
LOC111122446,0
LOC111122448,NA
LOC111122451,NA
LOC111122437,0
LOC111122295,NA
LOC111122149,NA
LOC111122150,0
LOC111121358,NA
LOC111118495,NA
LOC111121918,NA
LOC111120584,0
LOC111118426,NA
LOC111121474,NA
LOC111118749,NA
LOC111118750,NA
LOC111118799,NA
LOC111118134,NA
LOC111120665,NA
LOC111120904,NA
LOC111120905,0
LOC111120903,NA
LOC111118127,NA
LOC111121477,0
LOC111121595,NA
LOC111120938,0
LOC111120891,-1.37024077021781
LOC111120892,0
LOC111119597,0
LOC111120125,0
LOC111120127,0
LOC111118055,NA
LOC111118056,NA
LOC111120617,0
LOC111119906,0
LOC111121639,0
LOC111120128,0
LOC111117995,0
LOC111121426,-0.700659189707726
LOC111122377,0
LOC111122100,0
LOC111120495,0
LOC111118804,NA
LOC111121471,NA
LOC111121470,NA
LOC111120087,0
LOC111120088,NA
LOC111120086,-0.26922525558091
LOC111117874,NA
LOC111121099,-0.949805841414561
LOC111121100,0
LOC111118497,-0.587550377338448
LOC111118661,NA
LOC111119502,NA
LOC111119495,NA
LOC111119503,0
LOC111118805,NA
LOC111119508,0
LOC111119504,0
LOC111119501,NA
LOC111118807,NA
LOC111119496,NA
LOC111119499,NA
LOC111119505,0
LOC111119494,NA
LOC111118808,NA
LOC111119498,NA
LOC111119510,NA
LOC111119506,NA
LOC111119509,NA
LOC111119500,NA
LOC111119493,0
LOC111118152,0
LOC111118973,0
LOC111118970,0
LOC111118974,NA
LOC111118971,0
LOC111119189,NA
LOC111119190,-3.82992168639524
LOC111120648,0
LOC111120649,NA
LOC111120650,0
LOC111120651,NA
LOC111119919,0
LOC111119918,NA
LOC111121283,0
LOC111121012,-7.42482027952129
LOC111121011,0
LOC111122195,NA
LOC111118482,NA
LOC111121461,0
LOC111121460,NA
LOC111118198,NA
LOC111118269,NA
LOC111117595,0
LOC111118277,0
LOC111118815,0
LOC111121701,NA
LOC111121084,NA
LOC111121085,0
LOC111118217,NA
LOC111121392,NA
LOC111119148,0
LOC111119150,NA
LOC111119925,NA
LOC111119924,0
LOC111119926,0
LOC111119364,NA
LOC111119365,0
LOC111119363,0
LOC111119362,0
LOC111119361,0
LOC111119344,NA
LOC111118925,0
LOC111118924,0
LOC111120101,-1.54514593022544
LOC111118415,NA
LOC111121715,0
LOC111121761,NA
LOC111121711,0
LOC111121721,0
LOC111121763,NA
LOC111121734,-0.41774879140208
LOC111121739,0
LOC111121729,0
LOC111121731,0
LOC111121718,0
LOC111121754,0
LOC111121769,NA
LOC111118820,NA
LOC111121725,-0.345788132611792
LOC111121771,0
LOC111121753,NA
LOC111118822,NA
LOC111121727,0
LOC111121746,NA
LOC111121726,0
LOC111121728,NA
LOC111121737,NA
LOC111121708,NA
LOC111121748,NA
LOC111121759,NA
LOC111121750,0
LOC111121709,0
LOC111121773,0
LOC111118825,NA
LOC111121747,NA
LOC111121756,0
LOC111121722,NA
LOC111121758,NA
LOC111121712,0
LOC111121751,NA
LOC111121749,NA
LOC111121723,0
LOC111121762,0
LOC111121768,NA
LOC111121772,0
LOC111121765,NA
LOC111121757,-0.0479401140039272
LOC111121738,0
LOC111121774,NA
LOC111121714,-0.169336835491668
LOC111121707,0
LOC111121745,-1.88004209479343
LOC111121736,NA
LOC111121716,0
LOC111121760,NA
LOC111121710,0
LOC111121719,0
LOC111121764,NA
LOC111121735,0
LOC111121740,0
LOC111121730,0
LOC111121732,0
LOC111121717,0
LOC111121755,0
LOC111121767,NA
LOC111121770,0
LOC111122064,0
LOC111119708,0
LOC111119707,0
LOC111119710,-0.920716062095345
LOC111122423,0
LOC111118833,0
LOC111118194,NA
LOC111122020,NA
LOC111120132,0
LOC111120133,0
LOC111118002,NA
LOC111120781,0
LOC111119145,0
LOC111117971,0
LOC111117970,-0.263444766461799
LOC111120766,0
LOC111122325,0
LOC111121844,0
LOC111118836,-1.76174946497268
LOC111121332,NA
LOC111120601,NA
LOC111120961,0
LOC111122424,NA
LOC111121888,NA
LOC111120670,0
LOC111121226,NA
LOC111121266,0
LOC111119629,NA
LOC111118097,NA
LOC111118098,NA
LOC111121125,NA
LOC111119156,0
LOC111118840,NA
LOC111118841,-0.372885960389878
LOC111119751,0
LOC111121357,0
LOC111120034,NA
LOC111119620,NA
LOC111122211,NA
LOC111118798,NA
LOC111119157,NA
LOC111118846,NA
LOC111118390,NA
LOC111120564,NA
LOC111120565,NA
LOC111118855,NA
LOC111121705,NA
LOC111121706,NA
LOC111118480,NA
LOC111122367,NA
LOC111122087,NA
LOC111119570,0
LOC111119568,NA
LOC111119569,NA
LOC111118254,NA
LOC111118857,0
LOC111119408,NA
LOC111119407,-5.59887565042211
LOC111118858,0
LOC111122163,-2.68665543622607
LOC111118859,NA
LOC111120686,NA
LOC111120684,0
LOC111118860,NA
LOC111118600,NA
LOC111121630,0
LOC111119203,-1.65497357646328
LOC111119204,0
LOC111118651,NA
LOC111118373,0
LOC111118374,-0.436099952656633
LOC111118372,0
LOC111118867,NA
LOC111117958,NA
LOC111117957,NA
LOC111122316,0
LOC111122318,0
LOC111122319,NA
LOC111121941,NA
LOC111117924,NA
LOC111119775,0
LOC111121137,-1.14984361652157
LOC111121136,0
LOC111118473,NA
LOC111118493,0
LOC111121311,NA
LOC111121310,NA
LOC111121312,NA
LOC111121104,NA
LOC111118869,NA
LOC111118102,-1.07642673950738
LOC111117991,NA
LOC111122160,NA
LOC111122002,NA
LOC111119766,0
LOC111119767,NA
LOC111122068,NA
LOC111122215,0
LOC111117966,0
LOC111117965,0
LOC111117964,0
LOC111118802,NA
LOC111118891,NA
LOC111121353,NA
LOC111121354,NA
LOC111118619,0
LOC111119642,NA
LOC111119640,0
LOC111119643,NA
LOC111117988,0
LOC111117989,NA
LOC111122401,0
LOC111122400,0
LOC111120059,NA
LOC111118901,NA
LOC111120061,0
LOC111120057,NA
LOC111120058,NA
LOC111118902,NA
LOC111121407,NA
LOC111118654,0
LOC111118655,0
LOC111119000,0
LOC111121604,NA
LOC111121197,0
LOC111119512,0
LOC111119513,0
LOC111120497,0
LOC111122280,NA
LOC111121617,NA
LOC111120703,0
LOC111122340,0
LOC111122341,NA
LOC111121207,NA
LOC111120012,NA
LOC111120014,0
LOC111118903,NA
LOC111120016,0
LOC111120018,0
LOC111120019,NA
LOC111120013,NA
LOC111120015,0
LOC111119730,0
LOC111119733,NA
LOC111119732,0
LOC111119729,0
LOC111119735,0
LOC111121597,0
LOC111120698,0
LOC111121248,0
LOC111120825,NA
LOC111120600,0
LOC111121439,NA
LOC111119218,0
LOC111119217,NA
LOC111119219,0
LOC111121289,NA
LOC111120939,0
LOC111118241,0
LOC111119647,0
LOC111119646,-5.74421756790479
LOC111122276,0
LOC111118333,-0.653469481293208
LOC111120505,0
LOC111118904,0
LOC111120491,NA
LOC111121578,0
LOC111120496,0
LOC111121168,NA
LOC111119905,0
LOC111122366,0
LOC111122023,0
LOC111118112,NA
LOC111121912,NA
LOC111121913,NA
LOC111121914,NA
LOC111121910,NA
LOC111118996,NA
LOC111118908,NA
LOC111118909,0
LOC111119991,0
LOC111121413,NA
LOC111121672,-6.51272615317097
LOC111121674,-1.11441738574602
LOC111120909,NA
LOC111118703,-3.32760919822583
LOC111118697,NA
LOC111120115,0
LOC111120890,NA
LOC111121236,0
LOC111121054,0
LOC111121315,NA
LOC111120002,0
LOC111121121,NA
LOC111121335,0
LOC111120887,0
LOC111118376,0
LOC111122120,0
LOC111122286,NA
LOC111118919,NA
LOC111121581,NA
LOC111122106,NA
LOC111118283,NA
LOC111121623,0
LOC111121622,NA
LOC111118362,0
LOC111121187,-1.68039207914953
LOC111122098,NA
LOC111119678,0
LOC111121008,NA
LOC111118977,0
LOC111118678,0
LOC111118778,NA
LOC111118930,NA
LOC111121242,NA
LOC111119465,NA
LOC111119463,0
LOC111119462,0
LOC111120745,0
LOC111120139,0
LOC111120140,NA
LOC111118472,0
LOC111118471,NA
LOC111118933,0
LOC111118941,NA
LOC111121533,0
LOC111121094,0
LOC111121095,NA
LOC111120052,NA
LOC111120050,NA
LOC111118266,NA
LOC111118942,NA
LOC111118943,-3.73940206333368
LOC111117997,0
LOC111122000,0
LOC111119394,0
LOC111119393,0
LOC111119392,0
LOC111120646,0
LOC111119255,0
LOC111118141,NA
LOC111120983,NA
LOC111118500,NA
LOC111118025,0
LOC111117642,NA
LOC111122188,NA
LOC111118705,NA
LOC111121621,NA
LOC111118292,NA
LOC111118313,NA
LOC111121638,NA
LOC111120624,NA
LOC111118946,0
LOC111120625,NA
LOC111118947,0
LOC111120626,-1.98352923239031
LOC111121202,NA
LOC111120627,NA
LOC111118948,0
LOC111122176,0
LOC111120767,NA
LOC111121380,0
LOC111118949,NA
LOC111120668,NA
LOC111120667,NA
LOC111121343,NA
LOC111118370,NA
LOC111118950,NA
LOC111118953,NA
LOC111118918,0
LOC111119216,0
LOC111118398,NA
LOC111121359,NA
LOC111121635,NA
LOC111121333,NA
LOC111119289,NA
LOC111119288,NA
LOC111118958,NA
LOC111119287,NA
LOC111118961,NA
LOC111119286,0
LOC111119294,NA
LOC111119292,-0.0176614443467396
LOC111119290,NA
LOC111119296,NA
LOC111119293,0
LOC111122048,0
LOC111122049,-0.0229374331958445
LOC111119802,NA
LOC111120744,NA
LOC111121981,0
LOC111118271,0
LOC111118272,0
LOC111117912,NA
LOC111117911,NA
LOC111121060,NA
LOC111120699,NA
LOC111118962,NA
LOC111121124,NA
LOC111120978,0
LOC111120704,NA
LOC111120591,NA
LOC111121297,-0.0655823138940928
LOC111121296,0
LOC111121372,0
LOC111121274,NA
LOC111118967,NA
LOC111118126,NA
LOC111119636,0
LOC111120673,NA
LOC111118753,0
LOC111120066,0
LOC111120065,NA
LOC111120933,NA
LOC111120931,NA
LOC111120930,NA
LOC111121396,NA
LOC111122108,0
LOC111119491,NA
LOC111118968,0
LOC111119492,0
LOC111120874,0
LOC111120875,NA
LOC111121271,NA
LOC111118307,NA
LOC111118308,NA
LOC111122151,NA
LOC111121883,NA
LOC111121309,NA
LOC111120474,0
LOC111120661,0
LOC111122308,-1.04921275258078
LOC111122309,0
LOC111119817,0
LOC111121391,NA
LOC111121899,NA
LOC111118317,NA
LOC111118969,0
LOC111118278,NA
LOC111119722,0
LOC111119720,NA
LOC111119721,NA
LOC111119723,NA
LOC111119718,0
LOC111119724,NA
LOC111119726,NA
LOC111119719,0
LOC111120610,0
LOC111118219,NA
LOC111118218,NA
LOC111118222,NA
LOC111118220,NA
LOC111118223,NA
LOC111119348,NA
LOC111119350,NA
LOC111118975,0
LOC111118713,0
LOC111120137,0
LOC111120138,NA
LOC111118282,NA
LOC111122148,-0.587550377338448
LOC111119682,0
LOC111119683,NA
LOC111119684,NA
LOC111122296,NA
LOC111122302,NA
LOC111122303,NA
LOC111122299,NA
LOC111122298,NA
LOC111118295,NA
LOC111119250,-0.231565968031047
LOC111119248,0
LOC111119249,NA
LOC111121455,NA
LOC111120482,-0.114747563026759
LOC111120483,NA
LOC111119827,0
LOC111119828,NA
LOC111121854,0
LOC111121043,NA
LOC111120884,NA
LOC111118976,NA
LOC111120913,NA
LOC111120948,NA
LOC111121272,NA
LOC111119934,NA
LOC111119935,NA
LOC111119936,NA
LOC111119937,NA
LOC111119939,NA
LOC111119933,NA
LOC111121179,NA
LOC111118561,NA
LOC111118419,NA
LOC111117934,NA
LOC111117929,NA
LOC111117936,NA
LOC111117932,NA
LOC111117933,NA
LOC111117930,NA
LOC111117928,0
LOC111121158,NA
LOC111122006,NA
LOC111118329,0
LOC111118945,0
LOC111118944,0
LOC111121596,NA
Trnas-uga,NA
LOC111122171,0
LOC111119923,0
LOC111121926,-0.00712728814046599
LOC111121925,NA
LOC111119202,NA
LOC111119201,NA
LOC111118978,NA
LOC111118979,NA
LOC111119200,NA
LOC111118985,NA
LOC111122170,0
LOC111118611,NA
LOC111120853,NA
LOC111118053,NA
LOC111121418,NA
LOC111121420,NA
LOC111121417,0
LOC111121421,0
LOC111121784,NA
LOC111118926,NA
LOC111118928,NA
LOC111118927,NA
LOC111121255,0
LOC111118696,NA
LOC111121659,0
LOC111119799,0
LOC111120877,0
LOC111120020,0
LOC111118576,0
LOC111121327,NA
LOC111121328,NA
LOC111121326,NA
LOC111119712,-0.639283192554663
LOC111120967,0
LOC111120968,0
LOC111120702,NA
LOC111121107,NA
LOC111118210,NA
LOC111122199,NA
LOC111118839,NA
LOC111121454,NA
LOC111118986,NA
LOC111118238,NA
LOC111118229,NA
LOC111118987,NA
LOC111118688,NA
LOC111121860,NA
LOC111121650,NA
LOC111118988,NA
LOC111118989,NA
LOC111118952,NA
LOC111121103,NA
LOC111121458,NA
LOC111117697,0
LOC111117711,0
LOC111118348,NA
LOC111118448,NA
LOC111118783,NA
LOC111117866,0
LOC111120081,-2.03193040401176
LOC111119600,NA
LOC111118443,NA
LOC111118159,NA
LOC111120921,0
LOC111118115,NA
LOC111122015,NA
LOC111121542,0
LOC111121894,NA
LOC111120517,0
LOC111119560,0
LOC111119561,NA
LOC111120503,0
LOC111118247,0
LOC111120960,0
LOC111122127,0
LOC111118268,NA
LOC111121005,NA
LOC111121004,NA
LOC111121256,NA
LOC111119477,NA
LOC111119478,0
LOC111119479,NA
LOC111119896,0
LOC111119891,NA
LOC111119899,NA
LOC111119867,NA
LOC111119880,NA
LOC111119866,NA
LOC111119859,NA
LOC111119865,NA
LOC111119860,NA
LOC111119883,NA
LOC111119882,NA
LOC111119886,NA
LOC111119904,NA
LOC111119903,NA
LOC111119869,NA
LOC111119874,NA
LOC111119871,NA
LOC111119875,NA
LOC111119893,NA
LOC111119881,NA
LOC111119862,NA
LOC111119901,NA
LOC111119864,NA
LOC111119873,NA
LOC111119863,NA
LOC111119889,NA
LOC111119888,NA
LOC111118994,NA
LOC111119870,NA
LOC111119900,NA
LOC111119861,NA
LOC111119884,NA
LOC111119885,NA
LOC111119890,NA
LOC111119872,NA
LOC111119879,NA
LOC111119894,NA
LOC111119898,NA
LOC111118995,NA
LOC111119892,NA
LOC111119897,NA
LOC111119876,NA
LOC111119877,NA
LOC111118250,NA
LOC111118154,0
LOC111118185,NA
LOC111118911,-2.41704880132649
LOC111118910,-0.427366322402864
LOC111118350,0
LOC111121361,NA
LOC111118140,-0.283193821689114
LOC111122396,0
LOC111120122,NA
LOC111120121,0
LOC111118054,NA
LOC111118734,NA
LOC111120856,-2.29965446277982
LOC111119195,-5.43943052498782
LOC111119196,NA
LOC111121393,0
LOC111118110,NA
LOC111121377,NA
LOC111120621,NA
LOC111120620,NA
LOC111120063,0
LOC111121014,NA
LOC111121053,NA
LOC111122180,NA
LOC111121424,NA
LOC111122363,NA
LOC111122139,NA
LOC111120064,NA
LOC111121093,0
LOC111121306,0
LOC111122066,0
LOC111119626,NA
LOC111119625,-0.735802270410355
LOC111122138,0
LOC111122156,NA
LOC111122157,NA
LOC111121334,NA
LOC111118607,NA
LOC111118723,NA
LOC111118774,NA
LOC111118683,NA
LOC111118458,NA
LOC111122183,NA
LOC111118998,NA
LOC111121153,NA
LOC111121152,0
LOC111118163,NA
LOC111118999,-0.451054069754002
LOC111118151,NA
LOC111118150,0
LOC111121235,NA
LOC111118338,NA
LOC111118337,0
LOC111118712,NA
LOC111120596,NA
LOC111119749,NA
LOC111119748,0
LOC111121146,0
LOC111120812,NA
LOC111120628,0
LOC111117963,0
LOC111119001,NA
LOC111118617,NA
LOC111122166,NA
LOC111119687,NA
LOC111121294,NA
LOC111121293,NA
LOC111119830,0
LOC111122077,NA
LOC111119594,0
LOC111120999,NA
LOC111121130,0
LOC111120860,-5.9994408057584
LOC111122333,NA
LOC111119483,0
LOC111119484,NA
LOC111121336,NA
LOC111119002,NA
LOC111119003,NA
LOC111119297,NA
LOC111121049,0
LOC111121051,0
LOC111121048,NA
LOC111121412,NA
LOC111118775,NA
LOC111121616,0
LOC111120615,0
LOC111119215,0
LOC111119004,NA
LOC111121003,0
LOC111118709,NA
LOC111118445,NA
LOC111120835,NA
LOC111118510,NA
LOC111119907,NA
LOC111120820,-0.384011009355307
LOC111122212,NA
LOC111122213,NA
LOC111121320,NA
LOC111117947,0
Trnaa-cgc_3,NA
LOC111117946,NA
LOC111117948,0
LOC111122428,0
LOC111119371,NA
LOC111122169,NA
LOC111121398,0
LOC111121947,0
LOC111121948,NA
LOC111122289,NA
LOC111121368,-0.109725794658121
LOC111118232,NA
LOC111121055,-0.86279307515557
LOC111118880,0
LOC111118875,NA
LOC111119005,NA
LOC111118883,NA
LOC111118874,NA
LOC111119006,NA
LOC111118882,NA
LOC111118885,NA
LOC111118876,NA
LOC111119010,NA
LOC111119011,NA
LOC111119049,NA
LOC111118879,NA
LOC111118878,NA
LOC111118890,NA
LOC111118881,NA
LOC111118889,0
LOC111118884,NA
LOC111118888,NA
LOC111118886,NA
LOC111118877,0
LOC111118887,0
LOC111122054,0
LOC111119781,NA
LOC111119779,NA
LOC111121384,NA
LOC111119051,NA
LOC111118770,NA
LOC111118769,NA
LOC111118765,NA
LOC111118761,NA
LOC111118772,NA
LOC111118767,NA
LOC111118763,NA
LOC111118760,NA
LOC111118771,NA
LOC111118766,NA
LOC111118764,NA
LOC111118762,NA
LOC111120677,0
LOC111120676,0
LOC111118078,0
LOC111118630,NA
LOC111120821,NA
LOC111118233,0
LOC111118322,NA
LOC111121090,0
LOC111121089,NA
LOC111120947,0
LOC111121517,NA
LOC111122348,NA
LOC111120876,0
LOC111120492,NA
LOC111118604,NA
LOC111117972,NA
LOC111119331,0
Trnal-uag,NA
LOC111118364,0
LOC111118363,0
LOC111119052,NA
LOC111118613,NA
LOC111119258,0
LOC111121237,NA
LOC111121238,0
LOC111120782,NA
LOC111120783,NA
LOC111119090,0
LOC111119091,NA
LOC111119088,0
LOC111121594,NA
LOC111121087,0
LOC111118435,0
LOC111118452,-0.290509211389709
LOC111119696,0
LOC111120603,NA
LOC111120656,0
LOC111118135,NA
LOC111119060,NA
LOC111119061,NA
LOC111120755,NA
LOC111121144,NA
LOC111121145,NA
LOC111121200,0
LOC111120945,NA
LOC111120946,NA
LOC111121181,0
LOC111119062,0
LOC111118105,-0.156585820236962
LOC111119747,NA
LOC111119746,0
LOC111119063,NA
LOC111121259,NA
LOC111120979,0
LOC111120980,NA
LOC111120981,NA
LOC111121432,NA
LOC111120104,NA
LOC111120103,0
LOC111122162,0
LOC111119668,0
LOC111118011,0
LOC111118007,NA
LOC111118012,0
LOC111118005,0
LOC111118008,NA
LOC111118006,-0.373806559589378
LOC111118004,-0.485075484067729
LOC111118013,0
LOC111118016,NA
LOC111118014,NA
LOC111118003,NA
LOC111118015,NA
LOC111118017,NA
