"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","more_me_in","phase_effect"
"LOC111119555",49.5810302376191,-0.57127180296626,0.157351030643331,-2.04175213630783,0.0411761242523444,1,"not significant","phase2"
"LOC111119152",16.1684536526778,0.103067633421321,0.233460069486343,0,1,1,"not significant","phase2"
"LOC111120829",0.391645420787615,-0.134323967138832,0.227472684791257,0,1,NA,NA,"phase2"
"LOC111121363",3.61096641081981,0.156290931775961,0.282927255476521,0,1,1,"not significant","phase2"
"LOC111120236",5.27804765338545,0.33360222482101,0.281576855854091,0.296907302865585,0.766537280572019,1,"not significant","phase2"
"LOC111119330",0.259762358782291,-0.021912354460813,0.150849503302285,0,1,NA,NA,"phase2"
"LOC111119650",30.679341680018,-0.0906870850046214,0.138945677208664,0,1,1,"not significant","phase2"
"LOC111118291",74.4168256378283,0.161131387030418,0.147879581881091,0,1,1,"not significant","phase2"
"LOC111120901",9.6707110140155,0.0372156579208788,0.285255737007333,0,1,1,"not significant","phase2"
"LOC111118030",24.1453829804047,-0.710121606146035,0.232591380347684,-1.97824014569342,0.0479016217977646,1,"not significant","phase2"
"LOC111118383",106.08552094877,0.195809089903756,0.129015263654799,0,1,1,"not significant","phase2"
"LOC111119727",70.2169712166659,-0.0220116131230211,0.127348955426355,0,1,1,"not significant","phase2"
"LOC111119728",0.538603411405046,0.088673733371842,0.127397211813483,0,1,NA,NA,"phase2"
"LOC111121267",8.70336057353406,0.590774782044187,0.283505766772944,1.20200299952667,0.229362365952622,1,"not significant","phase2"
"LOC111120716",27.2835861749935,-0.125330040947381,0.279602364886623,0,1,1,"not significant","phase2"
"LOC111120715",0.18828131141182,0.103275563978875,0.115429532325432,0,NA,NA,NA,"phase2"
"LOC111121564",5.61389516362969,-0.380196274848734,0.285433040186386,-0.456135963670205,0.648292210211657,1,"not significant","phase2"
"LOC111120118",165.9335525703,-0.173703476806347,0.0854163010037912,0,1,1,"not significant","phase2"
"LOC111118168",2.04057674489566,0.0845342369614786,0.209811262094438,0,1,1,"not significant","phase2"
"LOC111117983",1.30607791086301,-0.0330098258488419,0.157700512146006,0,NA,NA,NA,"phase2"
"LOC111121109",39.5743944397286,0.46786991629,0.1841251951862,1.18327052454541,0.236701950555337,1,"not significant","phase2"
"LOC111120238",1.28183176688701,0.465761342497432,0.260239066655281,0.829088980645764,0.407054058660882,1,"not significant","phase2"
"LOC111119562",1.89689711441123,0.0894068701642538,0.268186702409964,0,1,1,"not significant","phase2"
"LOC111121113",4.26206773589618,-0.492159992535517,0.27290092145517,-0.887354983062219,0.374887811964047,1,"not significant","phase2"
"LOC111121871",6.73836297449926,0.0957339740616045,0.284368263457283,0,1,1,"not significant","phase2"
"LOC111121644",0.163503386980054,-0.0981043468205415,0.109772794570141,0,NA,NA,NA,"phase2"
"LOC111121645",19.1022019927772,-0.152991093071646,0.180916431530413,0,1,1,"not significant","phase2"
"LOC111118125",19.2052539798651,0.0678976815088557,0.221813492804855,0,1,1,"not significant","phase2"
"LOC111118935",41.3080973134455,-0.127973108209023,0.141452969612559,0,1,1,"not significant","phase2"
"LOC111118934",0.727638693348479,-0.0465188496158294,0.139772041339857,0,1,NA,NA,"phase2"
"LOC111118940",4.82958859698222,-0.0741931150558362,0.285417841788264,0,1,1,"not significant","phase2"
"LOC111118938",15.1991587928647,0.202846265131223,0.266687244585915,0,1,1,"not significant","phase2"
"LOC111118937",4.11993718657602,0.124246376560492,0.282594984811034,0,1,1,"not significant","phase2"
"LOC111118179",61.877459466105,0.125359966373741,0.126582197854039,0,1,1,"not significant","phase2"
"LOC111119679",30.7964791439142,0.0380720264128408,0.184375540107008,0,1,1,"not significant","phase2"
"LOC111120240",0.509190347689318,-0.116496999020291,0.177456716765305,0,1,NA,NA,"phase2"
"LOC111119466",0.836730895667431,0.342026358938455,0.249385370954232,0.369012659348586,0.712118288871295,NA,NA,"phase2"
"LOC111120241",1.33527670819222,0.295278099550729,0.234827517044261,0.192814283950358,0.847104416426613,1,"not significant","phase2"
"LOC111119469",17.3089551810303,-0.348791114095879,0.255823351018971,-0.386169259773916,0.699371318452921,1,"not significant","phase2"
