"","gene","logFC","pval","padj"
"37444","LOC111137032",0.917632362162578,0.0988609970488137,0.400839731789963
"37445","LOC111137033",-0.0933636158091492,0.933341875686093,NA
"37446","LOC111137034",3.40887435385687,0.440593876795814,NA
"37447","LOC111137035",NA,NA,NA
"37448","LOC111137036",-0.320945387535856,0.722478031955827,NA
"37449","LOC111137037",NA,NA,NA
"37450","LOC111137038",NA,NA,NA
"37451","LOC111137039",NA,NA,NA
"37452","LOC111137040",-0.0938288397679907,0.719092275716292,0.924330550830562
"37453","LOC111137041",-0.518466208186672,0.141330690267923,0.483192211735028
"37454","LOC111137042",0.332179795666294,0.438621645648767,0.805410743542789
"37455","LOC111137043",NA,NA,NA
"37456","LOC111137044",0,1,NA
"37457","LOC111137045",NA,NA,NA
"37458","LOC111137046",0.1418384194156,0.779891391896772,0.937795328033897
"37459","LOC111137047",NA,NA,NA
"37460","LOC111137048",NA,NA,NA
"37461","LOC111137049",2.56681025949958,0.562861046519546,NA
"37462","LOC111137050",NA,NA,NA
"37463","LOC111137051",-0.010848126842812,0.958315303739868,0.987252020721278
"37464","LOC111137052",NA,NA,NA
"37465","LOC111137053",-0.143607044965528,0.540559041738467,0.857809659645076
"37466","LOC111137054",NA,NA,NA
"37467","LOC111137055",-1.90954640030218,0.0409648844308021,NA
"37468","LOC111137056",0.505408853628542,0.870019346832467,NA
"37469","LOC111137057",NA,NA,NA
"37470","LOC111137058",-0.804291584851725,0.170404838548409,0.536940623549733
"37471","LOC111137059",0.156766285208298,0.649012493662189,0.900047920350474
"37472","LOC111137060",-0.816499333463399,0.813196560096604,NA
"37473","LOC111137061",1.22895622551616,0.242132747805201,NA
"37474","LOC111137062",0.383905969537172,0.429640126379855,0.80056691219784
"37475","LOC111137063",1.01444304803716,0.784440104767173,NA
"37476","LOC111137064",NA,NA,NA
"37477","LOC111137065",-0.237094438049917,0.957526860391227,NA
"37478","LOC111137066",NA,NA,NA
"37479","LOC111137067",NA,NA,NA
"37480","LOC111137068",1.39018411344872,0.455028590889512,NA
"37481","LOC111137069",0.947411638681464,0.813016036863339,NA
"37482","LOC111137070",-0.41914202298115,0.642139244561558,0.89725837047705
"37483","LOC111137071",NA,NA,NA
"37484","LOC111137072",0.577681326542061,0.784256713588994,NA
"37485","LOC111137073",NA,NA,NA
"37486","LOC111137074",1.15367573171317,0.662996636988289,NA
"37487","LOC111137075",NA,NA,NA
"37488","LOC111137076",0.805265860304878,0.661832882507807,NA
"37489","LOC111137077",0.0725832344132712,0.894893756387156,0.971860256468366
"37490","LOC111137078",NA,NA,NA
"37491","LOC111137079",-0.60284661870331,0.430801941327278,NA
"37492","LOC111137080",NA,NA,NA
"37493","LOC111137081",NA,NA,NA
"37494","LOC111137082",NA,NA,NA
"37495","LOC111137083",NA,NA,NA
"37496","LOC111137084",NA,NA,NA
"37497","LOC111137085",NA,NA,NA
"37498","LOC111137086",-0.772430020519497,0.272068027402596,0.668785434718174
"37499","LOC111137087",NA,NA,NA
"37500","LOC111137088",0.862263264660544,0.801159081588157,NA
"37501","LOC111137089",-0.216537412785487,0.58899221358859,0.883583360061226
"37502","LOC111137090",0.0148752738450787,0.966245333068785,0.988026199730444
"37503","LOC111137091",0.176000621284396,0.93456943074082,NA
"37504","LOC111137092",0.918693617468967,0.83671004490022,NA
"37505","LOC111137093",NA,NA,NA
"37506","LOC111137094",-0.405258162354895,0.287215669817205,0.681942730665661
"37507","LOC111137095",0.894299289714761,0.841162980750299,NA
"37508","LOC111137096",0.0977779306338926,0.835816192513776,0.957747025304022
"37509","LOC111137097",1.76010694874673,0.692710069347412,NA
"37510","LOC111137098",NA,NA,NA
"37511","LOC111137099",NA,NA,NA
"37512","LOC111137100",NA,NA,NA
"37513","LOC111137101",0.985222171023877,0.363562720733121,NA
"37514","LOC111137102",0,1,NA
"37515","LOC111137103",0.180294693987707,0.71252389506483,0.923964308732718
"37516","LOC111137104",-0.314936496877986,0.196235164133729,0.57841205406734
"37517","LOC111137105",0.295815638253601,0.454945034145402,0.815179681871093
"37518","LOC111137106",1.70411715787884,0.636775568803837,NA
"37519","LOC111137107",NA,NA,NA
"37520","LOC111137108",-0.130364358884963,0.879420218447016,NA
"37521","LOC111137109",0,1,NA
"37522","LOC111137110",0.524335353241965,0.88726499309728,NA
"37523","LOC111137111",NA,NA,NA
"37524","LOC111137112",-0.572545672063148,0.522279276015643,NA
"37525","LOC111137113",NA,NA,NA
"37526","LOC111137114",NA,NA,NA
"37527","LOC111137115",NA,NA,NA
"37528","LOC111137116",0.862414168703656,0.846742790942781,NA
"37529","LOC111137117",0.862414168648479,0.84674279095257,NA
"37530","LOC111137118",1.47762419201724,0.665722083391743,NA
"37531","LOC111137119",NA,NA,NA
"37532","LOC111137120",-0.125557942548062,0.732893524672848,0.925839763459327
"37533","LOC111137121",NA,NA,NA
"37534","LOC111137122",0.998454896734241,0.42893716615096,NA
"37535","LOC111137123",2.35011357777108,0.331143518104242,NA
"37536","LOC111137124",NA,NA,NA
"37537","LOC111137125",0.862414168546638,0.846742790970638,NA
"37538","LOC111137126",-0.220018744899756,0.661576510083282,0.904620238143268
"37539","LOC111137127",0.700971011700978,0.87237842409469,NA
"37540","LOC111137128",NA,NA,NA
"37541","LOC111137129",0,1,NA
"37542","LOC111137130",0.0466309727206088,0.893139955468528,0.971372810128674
"37543","LOC111137131",-0.263249705431724,0.859442977227083,NA
"37544","LOC111137132",1.34140683136779,0.512735632238,NA
"37545","LOC111137133",0.612650639146088,0.292190643795656,0.690059160354557
"37546","LOC111137134",NA,NA,NA
"37547","LOC111137135",NA,NA,NA
"37548","LOC111137136",NA,NA,NA
"37549","LOC111137137",NA,NA,NA
"37550","LOC111137138",NA,NA,NA
"37551","LOC111137139",NA,NA,NA
"37552","LOC111137140",NA,NA,NA
"37553","LOC111137141",0.434507334830101,0.305180584108006,0.705061785795254
"37554","LOC111137142",0.0495493544189972,0.985170793907842,NA
"37555","LOC111137143",NA,NA,NA
"37556","LOC111137144",NA,NA,NA
"37557","LOC111137145",NA,NA,NA
"37558","LOC111137146",NA,NA,NA
"37559","LOC111137147",0.862414168546638,0.846742790970638,NA
"37560","LOC111137148",0,1,NA
"37561","LOC111137149",NA,NA,NA
"37562","LOC111137150",0.862414168546637,0.846742790970638,NA
"37563","LOC111137151",0.601259685689481,0.518251939303056,NA
"37564","LOC111137152",-0.224667467528469,0.673015862874404,0.91044090338843
"37565","LOC111137153",0.233016474474334,0.762649985203132,0.934422501474325
"37566","LOC111137154",NA,NA,NA
"37567","LOC111137155",NA,NA,NA
"37568","LOC111137156",0.279265513517846,0.938033246117773,NA
"37569","LOC111137157",NA,NA,NA
"37570","LOC111137158",NA,NA,NA
"37571","LOC111137159",NA,NA,NA
"37572","LOC111137160",1.45404473648859,0.0983458915656631,NA
"37573","LOC111137161",NA,NA,NA
"37574","LOC111137162",NA,NA,NA
"37575","LOC111137163",4.71688384019053,0.101020608192493,NA
"37576","LOC111137164",NA,NA,NA
"37577","LOC111137165",-0.116710465602769,0.961044739086725,NA
"37578","LOC111137166",NA,NA,NA
"37579","LOC111137167",NA,NA,NA
"37580","LOC111137168",-0.575540967792434,0.528696177123691,NA
"37581","LOC111137169",0.182126153904469,0.509793391355055,0.847335773344409
"37582","LOC111137170",NA,NA,NA
"37583","LOC111137171",0,1,NA
"37584","LOC111137172",NA,NA,NA
"37585","LOC111137173",-1.15904625768605,0.377658429576504,NA
"37586","LOC111137174",3.78543625856334,0.392030905489065,NA
"37587","LOC111137175",NA,NA,NA
"37588","LOC111137176",0.172928345263814,0.969039996443195,NA
"37589","LOC111137177",-0.0654459281456026,0.868383154930687,0.966456816383811
"37590","LOC111137178",NA,NA,NA
"37591","LOC111137179",0,1,NA
"37592","LOC111137180",0,1,NA
"37593","LOC111137181",0.551260148517474,0.564260226748546,NA
"37594","LOC111137182",-0.0699608768986335,0.822294283602779,0.952965585677149
"37595","LOC111137183",0.431881355151461,0.616376189044316,NA
"37596","LOC111137184",NA,NA,NA
"37597","LOC111137185",0.254115332358478,0.921517542965684,NA
"37598","LOC111137186",0.277330291747818,0.884759356100894,NA
"37599","LOC111137187",NA,NA,NA
"37600","LOC111137188",NA,NA,NA
"37601","LOC111137189",-0.334461302149086,0.836762642185442,NA
"37602","LOC111137190",1.75604379974522,0.635671731862127,NA
"37603","LOC111137191",0,1,NA
"37604","LOC111137192",0,1,NA
"37605","LOC111137193",0.798545955564661,0.633094478373786,NA
"37606","LOC111137194",0,1,NA
"37607","LOC111137195",NA,NA,NA
"37608","LOC111137196",NA,NA,NA
"37609","LOC111137197",0.894299289714761,0.841162980750299,NA
"37610","LOC111137198",-0.53547918101767,0.695205656673995,NA
"37611","LOC111137199",NA,NA,NA
"37612","LOC111137200",0.0301685328194975,0.992209958109438,NA
"37613","LOC111137201",NA,NA,NA
"37614","LOC111137202",NA,NA,NA
"37615","LOC111137203",0.317742501743611,0.814229712901893,NA
"37616","LOC111137204",NA,NA,NA
"37617","LOC111137205",NA,NA,NA
"37618","LOC111137206",NA,NA,NA
"37619","LOC111137207",NA,NA,NA
"37620","LOC111137208",0,1,NA
"37621","LOC111137209",NA,NA,NA
"37622","LOC111137210",0.918709667631532,0.836894873303202,NA
"37623","LOC111137211",NA,NA,NA
"37624","LOC111137212",NA,NA,NA
"37625","LOC111137213",NA,NA,NA
"37626","LOC111137214",0.892619588215486,0.00518923140057017,0.0545587949350021
"37627","LOC111137215",0.425441323361015,0.71987132905373,NA
"37628","LOC111137216",0.398868909473007,0.198145883382131,0.580142556355298
"37629","LOC111137217",-0.932066688262593,0.23073988335717,NA
"37630","LOC111137218",0.574664722728151,0.175052352141571,0.544952037165746
"37631","LOC111137219",-0.0972549531177031,0.982575302466616,NA
"37632","LOC111137220",NA,NA,NA
"37633","LOC111137221",1.07761363594392,0.411821462816075,NA
"37634","LOC111137222",NA,NA,NA
"37635","LOC111137223",0.372479392344601,0.478171405140205,0.830231758085065
"37636","LOC111137224",NA,NA,NA
"37637","LOC111137225",2.26752987429544,0.609698159368897,NA
"37638","LOC111137226",NA,NA,NA
"37639","LOC111137227",0.729651693157278,0.812729447176528,NA
"37640","LOC111137228",-0.416417780963839,0.391474380490159,0.774095138492384
"37641","LOC111137229",0.894315914429453,0.841160044647472,NA
"37642","LOC111137230",0.441602898535223,0.684629256379577,NA
"37643","LOC111137231",0.396299806809233,0.929157258674285,NA
"37644","LOC111137232",-1.18754459761509,0.0643000090480601,0.31343668963066
"37645","LOC111137233",0.949325529877412,0.831549261682313,NA
"37646","LOC111137234",0,1,NA
"37647","LOC111137235",0.50144299591182,0.910450761817818,NA
"37648","LOC111137236",0.342307302003351,0.787325878293437,NA
"37649","LOC111137237",0.894299289714761,0.841162980750299,NA
"37650","LOC111137238",NA,NA,NA
"37651","LOC111137239",-0.927103567409354,0.127043248203418,0.453292664332742
"37652","LOC111137240",NA,NA,NA
"37653","LOC111137241",-0.00254072206145395,0.997374269852563,NA
"37654","LOC111137242",4.99907973809514,NA,NA
"37655","LOC111137243",NA,NA,NA
"37656","LOC111137244",-0.506897461274863,0.269146964002561,0.665728636130487
"37657","LOC111137245",NA,NA,NA
"37658","LOC111137246",NA,NA,NA
"37659","LOC111137247",-0.546888350283087,0.299329624409836,0.698332331772172
"37660","LOC111137248",2.51339033143765,0.152305188088733,NA
"37661","LOC111137249",NA,NA,NA
"37662","LOC111137250",0.335670691579828,0.758942452114932,NA
"37663","LOC111137251",NA,NA,NA
"37664","LOC111137252",NA,NA,NA
"37665","LOC111137253",NA,NA,NA
"37666","LOC111137254",NA,NA,NA
"37667","LOC111137255",NA,NA,NA
"37668","LOC111137256",0.0901903001518512,0.983846989551089,NA
"37669","LOC111137257",NA,NA,NA
"37670","LOC111137258",NA,NA,NA
"37671","LOC111137259",NA,NA,NA
"37672","LOC111137260",0.868836799140061,0.845618218768563,NA
"37673","LOC111137261",0.654464519683756,0.883333757987653,NA
"37674","LOC111137262",2.21615128349272,0.617907214733935,NA
"37675","LOC111137263",NA,NA,NA
"37676","LOC111137264",NA,NA,NA
"37677","LOC111137265",0.361793563473952,0.935307325624473,NA
"37678","LOC111137266",0.864831462750006,0.664134902489585,NA
"37679","LOC111137267",NA,NA,NA
"37680","LOC111137268",NA,NA,NA
"37681","LOC111137269",0.181003455503711,0.967595652440657,NA
"37682","LOC111137270",0.846013298374476,0.0300170679668732,0.191035717081983
"37683","LOC111137271",NA,NA,NA
"37684","LOC111137272",NA,NA,NA
"37685","LOC111137273",0.862414168648479,0.84674279095257,NA
