"","x"
"LOC111100512",4.37540358843354
"LOC111107430",4.36413304593323
"LOC111127608",4.362728124977
"LOC111124837",4.36262021444576
"LOC111119125",4.35642943460137
"LOC111115647",4.35594899746052
"LOC111133219",4.33549070464906
"LOC111113369",4.32050077718025
"LOC111115898",4.3107454464628
"LOC111112319",4.30382917585267
"LOC111125651",4.28828293128594
"LOC111108266",4.28561541383109
"LOC111100233",4.28159627626099
"LOC111119533",4.27797273302308
"LOC111101786",4.27519958710347
"LOC111115343",4.26741551196542
"LOC111126840",4.25459642163052
"LOC111137685",4.24430890616912
"LOC111107422",4.24380938407911
"LOC111135281",4.22563432231857
"LOC111131390",4.21043366104379
"LOC111124603",4.2020972375685
"LOC111120187",4.19825189651648
"LOC111130232",4.18574605553189
"LOC111135627",4.14082497814945
"LOC111128687",4.13209558346134
"LOC111133180",4.12617340163812
"LOC111136463",4.12071737170193
"LOC111104818",4.11799754568923
"LOC111106827",4.10709756062268
"LOC111116772",4.10546926298533
"LOC111103677",4.09957685806761
"LOC111101058",4.09915565944226
"LOC111118471",4.09281058534892
"LOC111107856",4.08876396686658
"LOC111126005",4.07674338206339
"LOC111107431",4.05075207713784
"LOC111133764",4.04595005114814
"LOC111126313",4.04462993254278
"LOC111102701",4.02114941131646
"LOC111112445",4.01535392928021
"LOC111138152",4.01498746975564
"LOC111120091",4.00907822445777
"LOC111137341",3.99722590205461
"LOC111114709",3.98737495651242
"LOC111125318",3.96708809511041
"LOC111117202",3.96371124099895
"LOC111105140",3.9598645488862
"LOC111102203",3.95604216596573
"LOC111119411",3.94732841279248
"LOC111107393",3.94685008488047
"LOC111119552",3.93729486173405
"LOC111132754",3.93619635426418
"LOC111109233",3.92932006410995
"LOC111119906",3.91023985972482
"LOC111114114",3.90354433624698
"LOC111104705",3.90034048361164
"LOC111132976",3.8990034635095
"LOC111124958",3.89448073829932
"LOC111135099",3.86645466378726
"LOC111118322",3.85102285381504
"LOC111106978",3.83742854218215
"LOC111113768",3.80045813353425
"LOC111106706",3.7997622720133
"LOC111137174",3.78543625856334
"LOC111122702",3.77348167970534
"LOC111134895",3.77348060429637
"LOC111119705",3.76979862934309
"LOC111134196",3.76131346059254
"LOC111132890",3.7579614860361
"LOC111128247",3.75728758544698
"LOC111120359",3.75725937677672
"LOC111130226",3.75725937677672
"LOC111132565",3.75725937677672
"LOC111117099",3.7448779575023
"LOC111137396",3.7434597612225
"LOC111115346",3.74273825634012
"LOC111136597",3.74023285424762
"LOC111118558",3.73413657209247
"LOC111111288",3.7201324981331
"LOC111114585",3.71468388158879
"LOC111124723",3.71280775823021
"LOC111137025",3.71242406779271
"LOC111101228",3.69987498054379
"LOC111118102",3.69888806691796
"LOC111136093",3.68900510769521
"LOC111124361",3.67369678663262
"LOC111102393",3.67347342971257
"LOC111135968",3.67325640374427
"LOC111099923",3.66776153101765
"LOC111103017",3.6628553356694
"LOC111103715",3.65699196566467
"LOC111131668",3.65699184150144
"LOC111129294",3.63986732778223
"LOC111137323",3.63340508506726
"LOC111123857",3.62739489067783
"LOC111101936",3.62073366360508
"LOC111118440",3.61036427425617
"LOC111123890",3.60817111402909
"LOC111133855",3.60144813149642
"LOC111133637",3.60059003980575
"LOC111100919",3.59979122882762
"LOC111116029",3.59951785570174
"LOC111118354",3.59951785570174
"LOC111109750",3.59255508663462
"LOC111104770",3.58149578544073
"LOC111119102",3.58114552972233
"LOC111130556",3.58078846945755
