"gene_name" "GO_id"
"212" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
"213" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
"214" "LOC111116311" "GO:0004484; GO:0004651; GO:0005524; GO:0005525; GO:0005634; GO:0006370; GO:0008138; GO:0016311; GO:0140818"
"215" "LOC111116848" "GO:0004222; GO:0006508; GO:0008270; GO:0016020"
"216" "LOC111117490" "GO:0004222; GO:0006508; GO:0008270; GO:0016020"
"217" "LOC111118210" "GO:0008413; GO:0042262"
"218" "LOC111118263" "GO:0004127; GO:0005524; GO:0005634; GO:0005737; GO:0006207; GO:0006221; GO:0009041; GO:0016310"
"219" "LOC111117491" "GO:0004222; GO:0006508; GO:0008270; GO:0016020"
"220" "LOC111118472" "GO:0005634; GO:0005694; GO:0006211; GO:0008270; GO:0010468; GO:0070579; GO:0080111"
"221" "LOC111118725" "GO:0004692; GO:0005524; GO:0016310; GO:0030553"
"222" "LOC111118606" "GO:0004714; GO:0005524; GO:0007169; GO:0016020; GO:0016310; GO:0045202"
"223" "LOC111119023" "GO:0001732; GO:0003723; GO:0003743; GO:0005852; GO:0016282; GO:0031369; GO:0033290"
"224" "LOC111118725" "GO:0004692; GO:0005524; GO:0016310; GO:0030553"
"225" "LOC111118300" "GO:0000786; GO:0003677; GO:0004402; GO:0005634; GO:0006334; GO:0006355; GO:0008270"
"226" "LOC111118323" "GO:0005634; GO:0005737; GO:0019284; GO:0019509; GO:0046523"
"227" "LOC111119248" "GO:0000723; GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006260; GO:0006281; GO:0006310; GO:0010569; GO:0016818; GO:0046872; GO:0051539"
"228" "LOC111119331" "GO:0003746; GO:0004686; GO:0005509; GO:0005516; GO:0005524; GO:0016310"
"229" "LOC111119361" "GO:0003995; GO:0006552; GO:0050660"
"230" "LOC111119361" "GO:0003995; GO:0006552; GO:0050660"
"231" "LOC111119455" "GO:0000002; GO:0000723; GO:0003677; GO:0005524; GO:0005634; GO:0005739; GO:0006281; GO:0006310; GO:0016887; GO:0043139"
"232" "LOC111119483" "GO:0000166; GO:0005737; GO:0017113; GO:0019483; GO:0051539; GO:0090729"
"233" "LOC111118815" "GO:0004674; GO:0005524; GO:0005778; GO:0007031; GO:0016310; GO:0046872"
"234" "LOC111119627" "GO:0004017; GO:0005524; GO:0005758; GO:0005829; GO:0006172; GO:0016310; GO:0046033; GO:0046034"
"235" "LOC111119669" "GO:0004674; GO:0005524; GO:0005737; GO:0005856; GO:0005886; GO:0007266; GO:0016310; GO:0031267; GO:0046872"
"236" "LOC111119678" "GO:0004134; GO:0004135; GO:0005737; GO:0005978; GO:0005980"
"237" "LOC111119683" "GO:0004017; GO:0005524; GO:0005525; GO:0005759; GO:0006172; GO:0016310; GO:0046033; GO:0046039; GO:0046041; GO:0046899"
"238" "LOC111119669" "GO:0004674; GO:0005524; GO:0005737; GO:0005856; GO:0005886; GO:0007266; GO:0016310; GO:0031267; GO:0046872"
"239" "LOC111119053" "GO:0004222; GO:0005886; GO:0006508; GO:0016055; GO:0030178; GO:0046872"
"240" "LOC111119817" "GO:0015012; GO:0015016; GO:0016020; GO:0016787; GO:0030210"
"241" "LOC111119087" "GO:0003712; GO:0005509; GO:0006357; GO:0007154; GO:0016020; GO:0016592; GO:0042981"
"242" "LOC111119860" "GO:0004177; GO:0006508; GO:0008237; GO:0008270; GO:0016020"
"243" "LOC111119568" "GO:0003779; GO:0005856; GO:0016020; GO:0019904; GO:0043005; GO:0043231; GO:0045202; GO:0048471"
"244" "LOC111120081" "GO:0004222; GO:0005509; GO:0006508; GO:0008270"
"245" "LOC111120200" "GO:0004615; GO:0005737; GO:0009298"
"246" "LOC111120233" "GO:0003857; GO:0004300; GO:0005524; GO:0006635; GO:0016507; GO:0016887; GO:0070403"
