gene_name	metadata
LOC111118385	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111132097	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111100407	GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111100409	GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111110637	GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111134577	GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111111343	GO:0046872,GO:0046872,GO:0046872,GO:0003677
LOC111100471	GO:0046872,GO:0046872,GO:0046872
LOC111103591	GO:0046872,GO:0046872,GO:0046872
LOC111118883	GO:0046872,GO:0046872,GO:0046872
LOC111120594	GO:0046872,GO:0046872,GO:0046872
LOC111120915	GO:0046872,GO:0046872,GO:0046872
LOC111122639	GO:0046872,GO:0046872,GO:0046872
LOC111123894	GO:0046872,GO:0046872,GO:0046872
LOC111134598	GO:0046872,GO:0046872,GO:0046872
LOC111135108	GO:0046872,GO:0046872,GO:0046872
LOC111136414	GO:0046872,GO:0046872,GO:0046872
LOC111100371	GO:0046872,GO:0046872
LOC111100443	GO:0046872,GO:0046872
LOC111100893	GO:0046872,GO:0046872
LOC111103270	GO:0046872,GO:0046872
LOC111103392	GO:0046872,GO:0046872
LOC111103826	GO:0046872,GO:0046872
LOC111104637	GO:0046872,GO:0046872
LOC111106726	GO:0046872,GO:0046872
LOC111108357	GO:0046872,GO:0046872
LOC111109352	GO:0046872,GO:0046872
LOC111109770	GO:0046872,GO:0046872
LOC111112767	GO:0046872,GO:0046872
LOC111114673	GO:0046872,GO:0046872
LOC111116628	GO:0046872,GO:0046872
LOC111118386	GO:0046872,GO:0046872
LOC111118964	GO:0046872,GO:0046872
LOC111121737	GO:0046872,GO:0046872
LOC111122496	GO:0046872,GO:0046872
LOC111127173	GO:0046872,GO:0046872
LOC111128499	GO:0046872,GO:0046872
LOC111131031	GO:0046872,GO:0046872
LOC111133928	GO:0046872,GO:0046872
LOC111134437	GO:0046872,GO:0046872
LOC111135291	GO:0046872,GO:0046872
LOC111135872	GO:0046872,GO:0046872
LOC111136284	GO:0046872,GO:0046872
LOC111137248	GO:0046872,GO:0046872
LOC111137351	GO:0046872,GO:0046872
LOC111130600	GO:0046872,GO:0016020, GO:0046872
LOC111121112	GO:0046872,GO:0008270
	GO:0046872,GO:0005576, GO:0045087, GO:0050829, GO:0050830,GO:0004867, GO:0005615,GO:0000786, GO:0003677, GO:0005634, GO:0030527, GO:0046982,GO:0004222, GO:0006508, GO:0008270, GO:0031012,GO:0005509, GO:0005788, GO:0006457, GO:0051082,GO:0005509, GO:0005783, GO:0006457, GO:0051082,GO:0000781, GO:0003677, GO:0003721, GO:0005634, GO:0046872,GO:0004129, GO:0005743, GO:0006119, GO:0020037, GO:0046872, GO:0070469,GO:0004129, GO:0005743, GO:0006119, GO:0020037, GO:0046872, GO:0070469,GO:0005524, GO:0005737, GO:0005856, GO:0016787,GO:0004129, GO:0005743, GO:0006119, GO:0020037, GO:0046872, GO:0070469,GO:0005743, GO:0009055, GO:0022904, GO:0046872, GO:0070469,GO:0005509,GO:0005737, GO:0008757, GO:0016226, GO:0051536,GO:0004176, GO:0004252, GO:0005524, GO:0006508, GO:0016887, GO:0030163,GO:0016620, GO:0051287,GO:0046872, GO:0051539,GO:0006508, GO:0008234,GO:0006508, GO:0008234,GO:0004713, GO:0005524, GO:0016310,GO:0003677, GO:0005634,GO:0006839, GO:0031966,GO:0016020,GO:0009916, GO:0016020, GO:0043229, GO:0046872,GO:0005506, GO:0016705, GO:0031418, GO:0051213,GO:0003746, GO:0005525,GO:0003746, GO:0005525,GO:0003729, GO:0046872,GO:0006629, GO:0008374,GO:0005507, GO:0006801,GO:0000981, GO:0003677, GO:0005634,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0003755,GO:0016020,GO:0015035,GO:0004497, GO:0005506, GO:0016705, GO:0020037
LOC111122732	GO:0046872,GO:0005525, GO:0046872,GO:0005525, GO:0046872
LOC111100319	GO:0046872,GO:0003677, GO:0046872
LOC111108288	GO:0046872,GO:0003677, GO:0046872
LOC111118879	GO:0046872,GO:0003677, GO:0046872
LOC111122220	GO:0046872, GO:0110165,GO:0046872, GO:0110165,GO:0046872, GO:0110165,GO:0046872, GO:0110165
LOC111120049	GO:0046872, GO:0106050
LOC111120080	GO:0046872, GO:0106050
LOC111119811	GO:0046872, GO:0061630,GO:0046872, GO:0061630,GO:0046872, GO:0061630
LOC111120473	GO:0046872, GO:0061630,GO:0046872, GO:0061630,GO:0046872, GO:0061630
LOC111112541	GO:0046872, GO:0061630,GO:0046872, GO:0061630
LOC111135728	GO:0046872, GO:0061630, GO:0072487
LOC111108217	GO:0046872, GO:0061630
LOC111129789	GO:0046872, GO:0061630
LOC111130274	GO:0046872, GO:0061630
LOC111101648	GO:0046872, GO:0051537
LOC111117798	GO:0046872, GO:0051537
LOC111117912	GO:0046872, GO:0051537
LOC111128427	GO:0046872, GO:0051537
LOC111121672	GO:0046872, GO:0051536, GO:0090560
LOC111133054	GO:0046872, GO:0051536, GO:0090560
LOC111134483	GO:0046872, GO:0051536, GO:0090560
LOC111114177	GO:0046872, GO:0048188
LOC111099082	GO:0046872
LOC111099316	GO:0046872
LOC111099437	GO:0046872
LOC111099528	GO:0046872
LOC111099539	GO:0046872
LOC111100252	GO:0046872
LOC111100408	GO:0046872
LOC111100416	GO:0046872
LOC111100417	GO:0046872
LOC111100470	GO:0046872
LOC111100633	GO:0046872
LOC111100799	GO:0046872
LOC111100894	GO:0046872
LOC111101016	GO:0046872
LOC111101018	GO:0046872
LOC111101035	GO:0046872
LOC111101140	GO:0046872
LOC111101144	GO:0046872
LOC111101145	GO:0046872
LOC111101292	GO:0046872
LOC111101502	GO:0046872
LOC111101678	GO:0046872
LOC111101682	GO:0046872
LOC111101689	GO:0046872
LOC111101818	GO:0046872
LOC111101864	GO:0046872
LOC111101923	GO:0046872
LOC111102014	GO:0046872
LOC111102045	GO:0046872
LOC111102060	GO:0046872
LOC111102088	GO:0046872
LOC111102167	GO:0046872
LOC111102198	GO:0046872
LOC111102451	GO:0046872
LOC111102770	GO:0046872
LOC111102858	GO:0046872
LOC111102897	GO:0046872
LOC111102910	GO:0046872
LOC111103029	GO:0046872
LOC111103155	GO:0046872
LOC111103158	GO:0046872
LOC111103391	GO:0046872
LOC111103592	GO:0046872
LOC111103599	GO:0046872
LOC111103682	GO:0046872
LOC111103790	GO:0046872
LOC111103816	GO:0046872
LOC111103982	GO:0046872
LOC111104001	GO:0046872
LOC111104229	GO:0046872
LOC111104270	GO:0046872
LOC111104279	GO:0046872
LOC111104430	GO:0046872
LOC111104974	GO:0046872
LOC111104997	GO:0046872
LOC111105011	GO:0046872
LOC111105093	GO:0046872
LOC111105111	GO:0046872
LOC111105125	GO:0046872
LOC111105134	GO:0046872
LOC111105137	GO:0046872
LOC111105148	GO:0046872
LOC111105163	GO:0046872
LOC111105497	GO:0046872
LOC111105503	GO:0046872
LOC111105519	GO:0046872
LOC111105574	GO:0046872
LOC111105685	GO:0046872
LOC111105955	GO:0046872
LOC111106075	GO:0046872
LOC111106454	GO:0046872
LOC111106506	GO:0046872
LOC111106524	GO:0046872
LOC111106538	GO:0046872
LOC111106875	GO:0046872
LOC111106892	GO:0046872
LOC111106978	GO:0046872
LOC111107145	GO:0046872
LOC111107174	GO:0046872
LOC111107227	GO:0046872
LOC111107607	GO:0046872
LOC111107659	GO:0046872
LOC111107661	GO:0046872
LOC111107715	GO:0046872
LOC111107922	GO:0046872
LOC111107952	GO:0046872
LOC111108130	GO:0046872
LOC111108191	GO:0046872
LOC111108319	GO:0046872
LOC111108329	GO:0046872
LOC111108346	GO:0046872
LOC111108861	GO:0046872
LOC111108886	GO:0046872
LOC111108917	GO:0046872
LOC111108920	GO:0046872
LOC111108924	GO:0046872
LOC111109219	GO:0046872
LOC111109391	GO:0046872
LOC111109446	GO:0046872
LOC111109447	GO:0046872
LOC111109488	GO:0046872
LOC111109846	GO:0046872
LOC111110019	GO:0046872
LOC111110164	GO:0046872
LOC111110288	GO:0046872
LOC111110414	GO:0046872
LOC111110478	GO:0046872
LOC111110504	GO:0046872
LOC111110921	GO:0046872
LOC111110945	GO:0046872
LOC111110990	GO:0046872
LOC111111351	GO:0046872
LOC111111528	GO:0046872
LOC111111607	GO:0046872
LOC111111785	GO:0046872
LOC111111805	GO:0046872
LOC111112381	GO:0046872
LOC111112449	GO:0046872
LOC111112549	GO:0046872
LOC111112563	GO:0046872
LOC111112594	GO:0046872
LOC111112669	GO:0046872
LOC111112686	GO:0046872
LOC111112798	GO:0046872
LOC111113460	GO:0046872
LOC111113628	GO:0046872
LOC111113998	GO:0046872
LOC111114010	GO:0046872
LOC111114013	GO:0046872
LOC111114070	GO:0046872
LOC111114096	GO:0046872
LOC111114214	GO:0046872
LOC111114281	GO:0046872
LOC111114482	GO:0046872
LOC111114520	GO:0046872
LOC111114554	GO:0046872
LOC111114560	GO:0046872
LOC111114813	GO:0046872
LOC111114868	GO:0046872
LOC111114930	GO:0046872
LOC111114989	GO:0046872
LOC111115015	GO:0046872
LOC111115066	GO:0046872
LOC111115382	GO:0046872
LOC111115399	GO:0046872
LOC111115473	GO:0046872
LOC111115491	GO:0046872
LOC111115766	GO:0046872
LOC111115807	GO:0046872
LOC111115838	GO:0046872
LOC111115857	GO:0046872
LOC111115868	GO:0046872
LOC111115915	GO:0046872
LOC111115945	GO:0046872
LOC111116207	GO:0046872
LOC111116222	GO:0046872
LOC111116315	GO:0046872
LOC111116334	GO:0046872
LOC111116390	GO:0046872
LOC111116440	GO:0046872
LOC111116566	GO:0046872
LOC111116578	GO:0046872
LOC111116728	GO:0046872
LOC111116761	GO:0046872
LOC111116780	GO:0046872
LOC111116925	GO:0046872
LOC111116941	GO:0046872
LOC111117068	GO:0046872
LOC111117120	GO:0046872
LOC111117166	GO:0046872
LOC111117220	GO:0046872
LOC111117283	GO:0046872
LOC111117317	GO:0046872
LOC111117554	GO:0046872
LOC111117617	GO:0046872
LOC111117713	GO:0046872
LOC111117973	GO:0046872
LOC111118023	GO:0046872
LOC111118075	GO:0046872
LOC111118482	GO:0046872
LOC111118588	GO:0046872
LOC111118917	GO:0046872
LOC111118927	GO:0046872
LOC111118928	GO:0046872
LOC111119074	GO:0046872
LOC111119196	GO:0046872
LOC111119244	GO:0046872
LOC111119383	GO:0046872
LOC111119388	GO:0046872
LOC111119390	GO:0046872
LOC111119454	GO:0046872
LOC111119858	GO:0046872
LOC111120077	GO:0046872
LOC111120173	GO:0046872
LOC111120327	GO:0046872
LOC111120339	GO:0046872
LOC111120494	GO:0046872
