"","baseMean","log2FoldChange","lfcSE","svalue"
"LOC111111995",10.0474370718244,-7.28439981499247e-08,0.00144269243855142,0.898026864955389
"LOC111130149",0.369983122830012,3.88782215995819e-07,0.00144269488870622,0.898962398304422
"LOC111134929",8.73705199337213,-1.98349953083455e-06,0.00144268929472604,0.8998809219562
"LOC111118727",1.53655460631975,-2.19349212353915e-06,0.00144269419671944,0.900782895632271
"LOC111103139",24.1694905299463,-1.14750780935355e-06,0.00144269087583049,0.901668762635554
"LOC111119020",6.9394087445123,5.39105444048814e-07,0.0014426922429531,0.902538950576832
"LOC111125333",89.4064914086259,-1.52725196419916e-06,0.00144268553239418,0.903393872063
"LOC111136966",31.2387179640059,1.80609089780748e-06,0.00144268621208205,0.904233925349409
"LOC111115980",1.15678795584721,-6.99316586156727e-07,0.00144269464232601,0.905059494958466
"LOC111112068",26.3836559208414,2.76807639560857e-06,0.00144267422465295,0.905870952266513
"LOC111106561",1.23235430484419,7.24012861985531e-07,0.00144269429468675,0.906668656060865
"LOC111124863",18.0904423015058,1.53696844358059e-06,0.00144269178336024,0.907452953068757
"LOC111124850",8.40265995322779,-8.66513946729795e-07,0.00144268867498653,0.90822417845985
"LOC111119716",0.349593185701423,1.13682158033272e-07,0.00144269502046921,0.908982656323819
"LOC111132898",5.1030100583594,-4.52539546847913e-07,0.00144269043304917,0.909728700124443
"LOC111101169",4.04072847528382,3.83903753630255e-07,0.00144269194379641,0.910462613131561
"LOC111101176",0.274194828413767,1.09228632097371e-07,0.00144269500341493,0.911184688832113
"LOC111101185",0.608221594856325,-3.55935810537551e-07,0.00144269486943323,0.911895211321456
"LOC111101139",11.0351446239799,-1.88840484817436e-06,0.00144268851820377,0.912594455676048
"LOC111101156",26.784994471756,-1.69843638941974e-06,0.00144268850165066,0.91328268830852
"LOC111104454",0.233295514103412,-3.84571112843441e-08,0.00144269489373704,0.91396016730611
"LOC111102578",1.03225561630635,-6.00719143915652e-07,0.001442694028753,0.914627142753349
"LOC111108648",27.5377816413651,2.1034536140338e-06,0.00144266902770554,0.915283857039862
"LOC111127270",1.82733001549825,-1.03042477050639e-06,0.00144269443016291,0.915930545154061
"LOC111117581",37.4664627075452,1.31399066857375e-06,0.00144268481341478,0.9165674349635
"LOC111114641",0.797085801265416,3.19167471401205e-07,0.00144269497623457,0.917194747482572
"LOC111127966",92.0728715097905,-2.67911033878273e-06,0.00144268615594103,0.917812697128224
"LOC111118476",1.97486114002248,-3.83393055247221e-07,0.00144269394317303,0.918421491964311
"LOC111135129",24.5051145404061,-2.52290867599423e-06,0.00144269063580658,0.919021333935162
"LOC111124109",0.342942935871185,-2.61947141275717e-07,0.00144269499527984,0.91961241908892
"LOC111118316",15.555306537875,-2.96380004565161e-06,0.00144268807318092,0.920194937791174
"LOC111134171",9.43270011833667,-3.15221172029833e-06,0.00144268970958103,0.920769074929367
"LOC111111295",18.6412266788495,-5.8518264779692e-07,0.00144269158834163,0.921335010108443
"LOC111104675",3.03873275279673,1.52015604443996e-06,0.00144269416692332,0.921892917838171
"LOC111104690",0.166606955507639,9.18881597828449e-08,0.00144269498735358,0.92244296771255
"LOC111130258",8.31966555680042,4.42558532939009e-06,0.00144269283885463,0.922985324581693
"LOC111124761",21.6007705349845,-2.17327279093257e-07,0.00144269040353104,0.923520148716542
"LOC111124729",1.33873806065842,-3.26616600069579e-07,0.00144269392134334,0.924047595966773
"LOC111121476",0.174345829935312,1.5030767544119e-07,0.0014426949544125,0.924567817912206
"LOC111121537",3.40136671417177,-8.08070965132291e-07,0.00144269414124052,0.925080962008041
"LOC111121602",1.33746755590029,-1.99776462082637e-06,0.00144269453152167,0.925587171724203
"LOC111121643",0.674447445782112,-2.53735495823128e-07,0.00144269489875982,0.926086586679074
"LOC111121500",45.4368058635554,-5.04750598798679e-06,0.00144267432588373,0.92657934276788
"LOC111130637",43.5847301692738,-7.14510425003846e-07,0.00144267723477104,0.927065572285974
"LOC111130647",42.3291622354415,4.66006695479877e-07,0.00144267585528229,0.92754540404725
"LOC111130653",43.1322403890032,-3.02890197509446e-06,0.00144267854209328,0.928018963497922
"LOC111130687",69.1865672256916,-9.17414683186218e-06,0.00144267758087476,0.928486372825857
"LOC111130696",22.1937240414412,-2.6420311694475e-07,0.00144267963981061,0.928947751065691
"LOC111121491",58.4564335997524,-3.13680448032397e-06,0.00144265221947215,0.929403214199885
"LOC111111234",4.18387737018236,9.85267944827195e-07,0.00144269354914889,0.929852875255937
"LOC111104573",0.719588624179164,-1.27458524526859e-07,0.00144269434119398,0.930296844399886
"LOC111103358",1.21937593428631,3.55347378071041e-07,0.00144269485911163,0.930735229026302
"LOC111103323",19.1254640146375,-6.98619783587997e-08,0.00144269349889291,0.931168133844888
"LOC111103371",1.38091177739352,-1.23601033834779e-08,0.00144269450707234,0.931595660963864
"LOC111103401",0.425972972052521,1.1688948080591e-07,0.00144269501657496,0.93201790997026
"LOC111103364",1.17459396807328,5.45544381357368e-07,0.00144269411926283,0.932434978007252
"LOC111099041",1.04454248308807,-1.37650863111452e-06,0.00144269410704975,0.932846959848671
"LOC111127424",3.37854365163159,-6.32783404150239e-07,0.00144269410978026,0.9332539479708
"LOC111127416",0.27594771770959,2.74353864176633e-07,0.00144269492779234,0.933656032621579
"LOC111137796",18.0464905661287,-1.7940756214214e-07,0.0014426885266234,0.934053301887318
"LOC111137514",0.257653103811602,2.10843114598406e-07,0.0014426949261747,0.934445841757036
"LOC111105370",0.716283105995995,-1.8814697560169e-07,0.00144269486280655,0.934833736184509
