From	To
LOC111127733	111127733
LOC111102475	111102475
LOC111127734	111127734
LOC111102476	111102476
LOC111114451	111114451
LOC111114450	111114450
LOC111113121	111113121
LOC111115784	111115784
LOC111113122	111113122
LOC111113116	111113116
LOC111115775	111115775
LOC111115774	111115774
LOC111113114	111113114
LOC111103793	111103793
LOC111103794	111103794
LOC111103791	111103791
LOC111102460	111102460
LOC111126410	111126410
LOC111103792	111103792
LOC111103790	111103790
LOC111101137	111101137
LOC111103799	111103799
LOC111101139	111101139
LOC111127742	111127742
LOC111101134	111101134
LOC111126412	111126412
LOC111127743	111127743
LOC111127744	111127744
LOC111126414	111126414
LOC111101135	111101135
LOC111115771	111115771
LOC111115770	111115770
LOC111114442	111114442
LOC111115772	111115772
LOC111137118	111137118
LOC111125130	111125130
LOC111102495	111102495
LOC111126463	111126463
LOC111127795	111127795
LOC111101165	111101165
LOC111125134	111125134
LOC111125133	111125133
LOC111125132	111125132
LOC111127791	111127791
LOC111101161	111101161
LOC111125138	111125138
LOC111125137	111125137
LOC111126466	111126466
LOC111127797	111127797
LOC111101167	111101167
LOC111126467	111126467
LOC111127798	111127798
LOC111101166	111101166
LOC111127799	111127799
LOC111101169	111101169
LOC111125139	111125139
LOC111101168	111101168
LOC111102498	111102498
LOC111138440	111138440
LOC111113141	111113141
LOC111114473	111114473
LOC111114474	111114474
LOC111137112	111137112
LOC111138443	111138443
LOC111137113	111137113
LOC111138442	111138442
LOC111114471	111114471
LOC111138441	111138441
LOC111137111	111137111
LOC111138459	111138459
LOC111138456	111138456
LOC111137126	111137126
LOC111113134	111113134
LOC111113135	111113135
LOC111114465	111114465
LOC111113136	111113136
LOC111115799	111115799
LOC111114468	111114468
LOC111125141	111125141
LOC111101152	111101152
LOC111102482	111102482
LOC111125144	111125144
LOC111126471	111126471
LOC111125142	111125142
LOC111125149	111125149
LOC111125148	111125148
LOC111125147	111125147
LOC111126477	111126477
LOC111101156	111101156
LOC111126478	111126478
LOC111126479	111126479
LOC111101158	111101158
LOC111101157	111101157
LOC111137120	111137120
LOC111113131	111113131
LOC111114461	111114461
LOC111115795	111115795
LOC111137122	111137122
LOC111115790	111115790
LOC111138425	111138425
LOC111138423	111138423
LOC111114498	111114498
LOC111126440	111126440
LOC111101185	111101185
LOC111126441	111126441
LOC111127772	111127772
LOC111126443	111126443
LOC111101182	111101182
LOC111126448	111126448
LOC111125116	111125116
LOC111127779	111127779
LOC111126449	111126449
LOC111125115	111125115
LOC111125114	111125114
LOC111125113	111125113
LOC111101189	111101189
LOC111127776	111127776
LOC111101188	111101188
LOC111125117	111125117
LOC111113163	111113163
LOC111114494	111114494
LOC111113165	111113165
LOC111114497	111114497
LOC111113166	111113166
LOC111138422	111138422
LOC111138421	111138421
LOC111113160	111113160
LOC111113162	111113162
LOC111137106	111137106
LOC111137103	111137103
LOC111137104	111137104
LOC111137109	111137109
LOC111114488	111114488
LOC111113157	111113157
LOC111137108	111137108
LOC111113159	111113159
LOC111126451	111126451
LOC111126452	111126452
LOC111127784	111127784
LOC111101176	111101176
LOC111127785	111127785
LOC111125123	111125123
LOC111125122	111125122
LOC111126450	111126450
LOC111125127	111125127
LOC111125126	111125126
LOC111125124	111125124
LOC111126455	111126455
LOC111101178	111101178
LOC111126456	111126456
LOC111125129	111125129
LOC111127788	111127788
LOC111126458	111126458
LOC111127789	111127789
LOC111101179	111101179
LOC111114484	111114484
LOC111114486	111114486
LOC111114485	111114485
LOC111137101	111137101
LOC111138432	111138432
LOC111114482	111114482
LOC111138489	111138489
LOC111125170	111125170
LOC111125176	111125176
LOC111113180	111113180
LOC111138480	111138480
LOC111137152	111137152
LOC111137153	111137153
LOC111113186	111113186
LOC111138482	111138482
LOC111113188	111113188
LOC111138488	111138488
LOC111137156	111137156
LOC111113181	111113181
LOC111138487	111138487
LOC111138486	111138486
LOC111101190	111101190
LOC111137169	111137169
LOC111101196	111101196
LOC111125183	111125183
LOC111101197	111101197
LOC111101192	111101192
LOC111125188	111125188
LOC111101191	111101191
LOC111101194	111101194
LOC111101193	111101193
LOC111101199	111101199
LOC111138490	111138490
LOC111137160	111137160
LOC111113174	111113174
LOC111138494	111138494
LOC111137164	111137164
LOC111113175	111113175
LOC111113177	111113177
LOC111138499	111138499
LOC111137167	111137167
LOC111138498	111138498
LOC111137168	111137168
LOC111113171	111113171
LOC111137165	111137165
LOC111113172	111113172
LOC111113173	111113173
LOC111126484	111126484
LOC111125151	111125151
LOC111125150	111125150
LOC111126487	111126487
LOC111125155	111125155
LOC111125154	111125154
LOC111125158	111125158
LOC111125157	111125157
LOC111138462	111138462
LOC111137130	111137130
LOC111138461	111138461
LOC111137131	111137131
LOC111137133	111137133
LOC111138479	111138479
LOC111126496	111126496
LOC111126492	111126492
LOC111126494	111126494
LOC111125169	111125169
LOC111125168	111125168
LOC111126499	111126499
LOC111137141	111137141
LOC111113196	111113196
LOC111138472	111138472
LOC111137142	111137142
LOC111113198	111113198
LOC111113199	111113199
LOC111138475	111138475
LOC111113194	111113194
LOC111113195	111113195
LOC111137190	111137190
LOC111137191	111137191
LOC111137196	111137196
LOC111137198	111137198
LOC111125192	111125192
LOC111125190	111125190
LOC111125194	111125194
LOC111125193	111125193
LOC111125199	111125199
LOC111137174	111137174
LOC111137173	111137173
LOC111137177	111137177
LOC111137181	111137181
LOC111137182	111137182
LOC111137185	111137185
LOC111137183	111137183
LOC111137189	111137189
LOC111103801	111103801
LOC111103800	111103800
LOC111103805	111103805
LOC111103803	111103803
LOC111103804	111103804
LOC111104917	111104917
LOC111116917	111116917
LOC111103603	111103603
LOC111104930	111104930
LOC111103609	111103609
LOC111103605	111103605
LOC111116904	111116904
LOC111116905	111116905
LOC111104925	111104925
LOC111115603	111115603
LOC111115600	111115600
LOC111128924	111128924
LOC111103625	111103625
LOC111128923	111128923
LOC111103626	111103626
LOC111128926	111128926
LOC111103623	111103623
LOC111103624	111103624
LOC111103620	111103620
LOC111103629	111103629
LOC111128927	111128927
LOC111103627	111103627
LOC111103628	111103628
LOC111127603	111127603
LOC111103614	111103614
LOC111128934	111128934
LOC111127605	111127605
LOC111127606	111127606
LOC111128936	111128936
LOC111128931	111128931
LOC111103610	111103610
LOC111128930	111128930
LOC111127601	111127601
LOC111128933	111128933
LOC111127607	111127607
LOC111103618	111103618
LOC111127608	111127608
LOC111128938	111128938
LOC111103619	111103619
LOC111115624	111115624
LOC111115628	111115628
LOC111103647	111103647
LOC111103646	111103646
LOC111104972	111104972
LOC111128906	111128906
LOC111115614	111115614
LOC111115615	111115615
LOC111116943	111116943
LOC111115612	111115612
LOC111116941	111116941
LOC111115611	111115611
LOC111115618	111115618
LOC111116948	111116948
LOC111115619	111115619
LOC111128913	111128913
LOC111103637	111103637
LOC111104966	111104966
LOC111103635	111103635
LOC111102304	111102304
LOC111104965	111104965
LOC111103630	111103630
LOC111128910	111128910
LOC111128919	111128919
LOC111102308	111102308
LOC111116979	111116979
LOC111114312	111114312
LOC111116973	111116973
LOC111128961	111128961
LOC111114319	111114319
LOC111126305	111126305
LOC111103667	111103667
LOC111102336	111102336
LOC111103668	111103668
LOC111102337	111102337
LOC111102334	111102334
LOC111127633	111127633
LOC111128963	111128963
LOC111103666	111103666
LOC111128966	111128966
LOC111104995	111104995
LOC111128965	111128965
LOC111116971	111116971
LOC111116972	111116972
LOC111116970	111116970
LOC111115638	111115638
LOC111114307	111114307
LOC111115637	111115637
LOC111116965	111116965
LOC111114300	111114300
LOC111114302	111114302
LOC111128971	111128971
LOC111104980	111104980
LOC111126311	111126311
LOC111127642	111127642
LOC111128972	111128972
LOC111126316	111126316
LOC111128979	111128979
LOC111103658	111103658
LOC111128978	111128978
LOC111103659	111103659
LOC111126312	111126312
LOC111128975	111128975
LOC111126313	111126313
LOC111127644	111127644
LOC111128974	111128974
LOC111103655	111103655
LOC111126314	111126314
LOC111128977	111128977
LOC111128976	111128976
LOC111114337	111114337
LOC111116998	111116998
LOC111114333	111114333
LOC111114335	111114335
LOC111101020	111101020
LOC111102350	111102350
LOC111101021	111101021
LOC111127614	111127614
LOC111101028	111101028
LOC111127615	111127615
LOC111101027	111101027
LOC111127616	111127616
LOC111128948	111128948
LOC111127610	111127610
LOC111128942	111128942
LOC111103687	111103687
LOC111127611	111127611
LOC111128941	111128941
LOC111101023	111101023
LOC111102357	111102357
LOC111101026	111101026
LOC111127613	111127613
LOC111101025	111101025
LOC111115662	111115662
LOC111114331	111114331
LOC111128949	111128949
LOC111114327	111114327
LOC111115657	111115657
LOC111116988	111116988
LOC111116989	111116989
LOC111114323	111114323
LOC111103673	111103673
LOC111101010	111101010
LOC111103671	111103671
LOC111127626	111127626
LOC111128959	111128959
LOC111128958	111128958
LOC111103676	111103676
LOC111116983	111116983
LOC111115652	111115652
LOC111114321	111114321
LOC111116981	111116981
LOC111138326	111138326
LOC111114355	111114355
LOC111138329	111138329
LOC111138328	111138328
LOC111126341	111126341
LOC111101041	111101041
LOC111126344	111126344
LOC111101043	111101043
LOC111102373	111102373
LOC111125013	111125013
LOC111125011	111125011
LOC111125010	111125010
LOC111126349	111126349
LOC111125017	111125017
LOC111125014	111125014
LOC111126345	111126345
LOC111101046	111101046
LOC111126347	111126347
LOC111125019	111125019
LOC111125018	111125018
LOC111113020	111113020
LOC111115683	111115683
LOC111115682	111115682
LOC111113022	111113022
LOC111113023	111113023
LOC111138323	111138323
LOC111138322	111138322
LOC111138321	111138321
LOC111138338	111138338
LOC111137006	111137006
LOC111137007	111137007
LOC111113018	111113018
LOC111138336	111138336
LOC111137004	111137004
LOC111138335	111138335
LOC111137005	111137005
LOC111115675	111115675
LOC111114347	111114347
LOC111137009	111137009
LOC111126352	111126352
LOC111101031	111101031
LOC111126353	111126353
LOC111101030	111101030
LOC111103695	111103695
LOC111101033	111101033
LOC111103692	111103692
LOC111102361	111102361
LOC111126355	111126355
LOC111101032	111101032
LOC111125023	111125023
LOC111125022	111125022
LOC111127681	111127681
LOC111125021	111125021
LOC111125027	111125027
LOC111125025	111125025
LOC111126356	111126356
LOC111101035	111101035
LOC111103698	111103698
LOC111103699	111103699
LOC111126358	111126358
LOC111103696	111103696
LOC111102365	111102365
LOC111126359	111126359
LOC111101036	111101036
LOC111138330	111138330
LOC111115672	111115672
LOC111115673	111115673
LOC111138334	111138334
LOC111138333	111138333
LOC111138305	111138305
LOC111138303	111138303
LOC111138302	111138302
LOC111138309	111138309
LOC111113046	111113046
LOC111138306	111138306
LOC111114379	111114379
LOC111102396	111102396
LOC111126320	111126320
LOC111101063	111101063
LOC111126321	111126321
LOC111127652	111127652
LOC111126322	111126322
LOC111101060	111101060
LOC111102393	111102393
LOC111101062	111101062
LOC111102390	111102390
LOC111101061	111101061
LOC111126327	111126327
LOC111126328	111126328
LOC111127659	111127659
LOC111128989	111128989
LOC111128988	111128988
LOC111101069	111101069
LOC111102399	111102399
LOC111113043	111113043
LOC111113044	111113044
LOC111113045	111113045
LOC111113040	111113040
LOC111114371	111114371
LOC111113039	111113039
LOC111138315	111138315
LOC111138314	111138314
LOC111113035	111113035
LOC111115698	111115698
LOC111138319	111138319
LOC111113036	111113036
LOC111114369	111114369
LOC111113038	111113038
LOC111126331	111126331
LOC111128992	111128992
LOC111101055	111101055
LOC111126333	111126333
LOC111125002	111125002
LOC111125001	111125001
LOC111125000	111125000
LOC111128991	111128991
LOC111128990	111128990
LOC111101050	111101050
LOC111102380	111102380
LOC111126338	111126338
LOC111125004	111125004
LOC111126334	111126334
LOC111128997	111128997
LOC111126335	111126335
LOC111128996	111128996
LOC111101056	111101056
LOC111126336	111126336
LOC111125008	111125008
LOC111128999	111128999
LOC111101059	111101059
LOC111125007	111125007
LOC111128998	111128998
LOC111101058	111101058
LOC111114363	111114363
LOC111113033	111113033
LOC111115690	111115690
LOC111113030	111113030
LOC111138369	111138369
LOC111138368	111138368
LOC111137038	111137038
LOC111101086	111101086
