"","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111115710",5,3,2,1,0,0,0,0,2,4,0,0,0,0,0
"LOC111131233",0,5,0,2,0,6,2,0,14,4,2,3,0,360,1
"LOC111136229",1,0,0,0,1,0,0,0,2,1,4,0,0,0,0
"LOC111129895",2,0,0,0,1,0,0,0,2,0,1,0,0,0,0
"LOC111116159",4,0,1,0,4,0,1,1,2,1,2,1,0,0,0
"LOC111129081",28,51,4,3,12,11,6,1,24,22,21,6,2,5,32
"LOC111116885",0,0,0,0,11,0,5,0,0,1,1,0,0,1,0
"LOC111131248",256,272,40,15,277,61,99,26,202,157,175,113,27,104,110
"LOC111120067",2,2,0,1,4,0,0,0,6,0,6,0,0,1,0
"LOC111117993",2,2,0,0,16,3,2,0,3,1,3,0,0,2,0
"LOC111117955",0,18,0,0,19,0,0,0,0,1,6,0,0,0,0
"LOC111136389",0,3,0,0,0,2,0,0,2,1,0,0,0,0,0
"LOC111128868",7,1,1,1,4,5,2,1,3,1,0,1,0,8,0
"LOC111104389",2,1,0,0,1,0,0,0,1,0,1,3,0,1,0
"LOC111131377",10,8,2,0,9,1,2,2,12,1,2,3,0,0,0
"LOC111112780",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"LOC111137004",4,10,1,0,3,2,1,0,6,6,2,2,1,1,0
"LOC111099064",0,0,0,0,0,0,2,2,0,0,2,0,0,5,0
"LOC111116653",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"LOC111116581",0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
"LOC111128804",10,4,0,0,4,3,9,0,5,8,5,2,1,4,0
"LOC111126618",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LOC111109571",0,0,0,0,0,8,0,0,0,0,0,0,0,1,0
"LOC111122283",8,5,3,0,4,0,1,0,12,0,0,0,1,5,0
"LOC111137309",0,1,0,0,5,0,0,0,1,0,2,0,0,0,0
"LOC111099033",0,0,0,0,0,14,0,0,2,0,0,0,0,0,0
"LOC111131407",0,0,0,0,0,2,0,0,0,0,0,1,0,8,0
"LOC111131491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111110943",5,4,0,0,2,0,0,0,1,1,1,0,0,0,0
"LOC111128419",2,4,0,0,1,0,1,1,1,0,2,1,0,0,0
"LOC111125302",0,1,1,0,0,0,0,0,1,0,4,0,0,1,0
"LOC111100144",3,5,1,0,0,1,0,1,0,6,4,1,0,7,0
"LOC111100186",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"LOC111100315",3,7,0,0,2,0,1,0,2,13,2,0,0,0,0
"LOC111100100",4,2,3,0,2,0,0,1,0,2,17,1,0,6,0
"LOC111131545",7,5,3,0,0,0,0,0,0,1,1,0,0,5,0
"LOC111100177",1,0,0,0,1,0,1,1,1,2,1,0,0,1,0
"LOC111100340",0,4,2,0,12,0,0,0,2,0,5,0,0,11,0
"LOC111100135",8,11,2,0,0,1,0,0,0,6,3,1,0,7,0
"LOC111120685",0,0,0,0,1,0,0,0,22,0,0,0,0,1,0
"LOC111120694",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111106027",0,2,0,0,9,4,0,1,0,2,3,0,0,0,0
"LOC111102753",10,0,0,0,1,0,2,0,5,0,0,0,0,3,0
"LOC111132179",6,2,1,0,8,0,1,1,11,4,2,2,0,2,0
"LOC111105322",0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
"LOC111103666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111123472",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"LOC111115119",0,0,0,0,2,0,0,2,0,0,0,0,0,0,1
