"gene_id","Gene.Ontology.IDs"
"LOC111102972","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111103091","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111103623","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111105728","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111107373","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111107888","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111108019","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111108030","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111108150","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111108477","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111108543","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111109147","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111109564","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111111284","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111111327","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111111498","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111111719","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111111720","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111111868","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111112348","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111112944","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111113032","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111114181","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111114262","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111114285","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111114290","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111115239","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111115333","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111115356","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111116335","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111116619","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111118434","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111118509","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111118511","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111118616","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111118920","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111119024","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111120595","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111120888","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111121131","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111121715","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111121716","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111122215","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111122669","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111123010","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111123065","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111123508","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111123572","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111124294","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111124297","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111124625","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111124988","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111125660","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111126010","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111126776","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111127006","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111128387","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111128425","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111128431","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111128516","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111129910","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111129935","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111129947","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111130075","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111130258","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111130364","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
