"GO.IDs","GOslim","Term","gene_id"
"GO:0000077","GO:0023052","signaling","LOC111107373"
"GO:0000077","GO:0023052","signaling","LOC111118434"
"GO:0000077","GO:0023052","signaling","LOC111133654"
"GO:0000077","GO:0023052","signaling","LOC111129910"
"GO:0000077","GO:0023052","signaling","LOC111123010"
"GO:0000077","GO:0023052","signaling","LOC111099375"
"GO:0000082","GO:0000278","mitotic cell cycle","LOC111103289"
"GO:0000082","GO:0000278","mitotic cell cycle","LOC111132839"
"GO:0000082","GO:0000278","mitotic cell cycle","LOC111126639"
"GO:0000082","GO:0000278","mitotic cell cycle","LOC111126797"
"GO:0000082","GO:0000278","mitotic cell cycle","LOC111099092"
"GO:0000082","GO:0000278","mitotic cell cycle","LOC111121435"
"GO:0000082","GO:0000278","mitotic cell cycle","LOC111103314"
"GO:0000082","GO:0000278","mitotic cell cycle","LOC111123961"
"GO:0000083","GO:0000278;GO:0006351;GO:0006355","mitotic cell cycle;DNA-templated transcription;regulation of DNA-templated transcription","LOC111125325"
"GO:0000083","GO:0000278;GO:0006351;GO:0006355","mitotic cell cycle;DNA-templated transcription;regulation of DNA-templated transcription","LOC111107574"
"GO:0000083","GO:0000278;GO:0006351;GO:0006355","mitotic cell cycle;DNA-templated transcription;regulation of DNA-templated transcription","LOC111110930"
"GO:0000083","GO:0000278;GO:0006351;GO:0006355","mitotic cell cycle;DNA-templated transcription;regulation of DNA-templated transcription","LOC111107790"
"GO:0000083","GO:0000278;GO:0006351;GO:0006355","mitotic cell cycle;DNA-templated transcription;regulation of DNA-templated transcription","LOC111124507"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111132547"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111121264"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111132551"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111132549"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111122306"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111132091"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111132582"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111135070"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111106831"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111132581"
"GO:0000086","GO:0000278","mitotic cell cycle","LOC111132550"
