,2018--BBB-WBO-B21-CV,2018--BBB-WBV-B70-CV,2018--BBO-BBO-B16-CV,2018--BBO-BBY-B27-CV,2018--BBO-WBO-B16-CV,2018--BBO-WBV-B64-CV,2018--BBR-BBB-B50-CV,2018--BBR-BBG-B38-CV,2018--BBR-BBY-B26-CV,2018--BBY-WBG-B42-CV,2018--BPO-BPO-O16-CV,2018--BPR-BPG-O38-CV,2018--BPR-BPR-O02-CV,2018--BPY-BPG-O42-CV,2018--BPY-BPY-O29-CV,2018--WBB-WBV-W69-CV,2018--WBG-BBB-W56-CV,2018--WBG-WBG-W44-CV,2018--WBO-BBR-W03-CV,2018--WBO-WBV-W64-CV,2018--WBR-BBY-W25-CV,2018--WBV-WBO-W23-CV,2018--WBV-WBR-W12-CV,2018--WBY-BBV-W65-CV,2018--WBY-BBY-W30-CV,2018--WPB-BPG-G45-CV,2018--WPO-BPO-G16-CV,2018--WPO-BPY-G28-CV,2018--WPR-BPY-G25-CV,2018--WPV-BPR-G11-CV
LOC111120701,4,144,1,1,5,5,9,17,0,2,0,0,3,0,1,1,2,1,0,2,37,0,1,4,2,2,1,0,107,1
LOC111120702,23,17,12,12,26,7,19,24,13,4,6,4,7,2,6,15,21,5,2,10,6,14,2,9,5,16,5,2,11,1
LOC111120703,33,24,42,12,46,27,25,30,43,4,11,21,4,4,10,27,29,5,0,17,5,6,4,10,11,19,2,3,9,0
LOC111120704,23,44,13,29,1,39,15,1,20,8,3,23,5,0,9,39,2,3,3,31,5,14,0,9,10,11,5,0,5,1
LOC111120705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120707,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LOC111120708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120710,4,0,1,2,1,2,0,2,3,0,1,4,0,0,2,5,0,5,0,7,1,3,1,2,4,1,1,0,0,0
LOC111120711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120712,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,1,0,1,1,1,0,0,1,0
LOC111120713,171,136,165,117,222,119,88,186,174,67,25,111,37,18,40,156,223,38,7,205,56,30,16,221,98,136,63,7,117,2
LOC111120714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120715,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LOC111120716,53,61,48,12,65,31,10,1,27,2,1,9,2,0,5,30,30,12,0,35,10,0,0,21,24,9,6,1,5,2
LOC111120717,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120719,1,2,3,0,2,9,8,3,9,2,1,2,0,0,0,16,0,1,1,6,0,7,0,7,3,2,2,0,1,0
